Time,Pa,P1,first_derivative,second_derivative
0,99479,0.01,,
1000,99499,0.01,20.0,
1000,99620,0.02,121.0,101.0
2000,99600,0.02,-20.0,-141.0
2000,99561,0.02,-39.0,-19.0
3000,99549,0.01,-12.0,27.0
3000,99538,0.01,-11.0,1.0
4000,99423,0.0,-115.0,-104.0
4000,99513,0.01,90.0,205.0
5000,99514,0.01,1.0,-89.0
6000,99505,0.01,-9.0,-10.0
7000,99512,0.01,7.0,16.0
8000,99500,0.01,-12.0,-19.0
9000,99499,0.01,-1.0,11.0
9000,99496,0.01,-3.0,-2.0
10000,99493,0.01,-3.0,0.0
11000,99500,0.01,7.0,10.0
11000,99505,0.01,5.0,-2.0
12000,99509,0.01,4.0,-1.0
12000,99489,0.01,-20.0,-24.0
13000,99500,0.01,11.0,31.0
14000,99501,0.01,1.0,-10.0
14000,99503,0.01,2.0,1.0
15000,99506,0.01,3.0,1.0
15000,99492,0.01,-14.0,-17.0
16000,99513,0.01,21.0,35.0
17000,99511,0.01,-2.0,-23.0
17000,99496,0.01,-15.0,-13.0
18000,99490,0.01,-6.0,9.0
19000,99497,0.01,7.0,13.0
19000,99505,0.01,8.0,1.0
20000,99493,0.01,-12.0,-20.0
20000,99506,0.01,13.0,25.0
21000,99490,0.01,-16.0,-29.0
22000,99523,0.01,33.0,49.0
22000,99506,0.01,-17.0,-50.0
23000,99500,0.01,-6.0,11.0
23000,99482,0.01,-18.0,-12.0
24000,99505,0.01,23.0,41.0
25000,99505,0.01,0.0,-23.0
25000,99491,0.01,-14.0,-14.0
26000,99496,0.01,5.0,19.0
26000,99482,0.01,-14.0,-19.0
27000,99504,0.01,22.0,36.0
28000,99503,0.01,-1.0,-23.0
28000,99499,0.01,-4.0,-3.0
29000,99489,0.01,-10.0,-6.0
30000,99504,0.01,15.0,25.0
30000,99503,0.01,-1.0,-16.0
31000,99496,0.01,-7.0,-6.0
31000,99475,0.01,-21.0,-14.0
32000,99505,0.01,30.0,51.0
33000,99508,0.01,3.0,-27.0
33000,99499,0.01,-9.0,-12.0
34000,99478,0.01,-21.0,-12.0
34000,99501,0.01,23.0,44.0
35000,99503,0.01,2.0,-21.0
36000,99499,0.01,-4.0,-6.0
36000,99485,0.01,-14.0,-10.0
37000,99494,0.01,9.0,23.0
38000,99510,0.01,16.0,7.0
38000,99464,0.0,-46.0,-62.0
39000,99521,0.01,57.0,103.0
39000,100524,0.12,1003.0,946.0
40000,100826,0.15,302.0,-701.0
41000,100977,0.17,151.0,-151.0
41000,101653,0.25,676.0,525.0
42000,102002,0.28,349.0,-327.0
42000,104597,0.57,2595.0,2246.0
43000,107329,0.87,2732.0,137.0
44000,108492,1.0,1163.0,-1569.0
44000,105935,0.72,-2557.0,-3720.0
45000,100779,0.15,-5156.0,-2599.0
46000,101785,0.26,1006.0,6162.0
46000,99500,0.01,-2285.0,-3291.0
47000,99490,0.01,-10.0,2275.0
48000,99456,0.0,-34.0,-24.0
50000,107215,0.86,7759.0,7793.0
51000,99505,0.01,-7710.0,-15469.0
52000,99489,0.01,-16.0,7694.0
53000,99496,0.01,7.0,23.0
54000,99497,0.01,1.0,-6.0
56000,99496,0.01,-1.0,-2.0
57000,99509,0.01,13.0,14.0
59000,99503,0.01,-6.0,-19.0
60000,99493,0.01,-10.0,-4.0
61000,99506,0.01,13.0,23.0
63000,99477,0.01,-29.0,-42.0
64000,99502,0.01,25.0,54.0
66000,99499,0.01,-3.0,-28.0
68000,99498,0.01,-1.0,2.0
68000,99487,0.01,-11.0,-10.0
69000,99498,0.01,11.0,22.0
70000,99490,0.01,-8.0,-19.0
71000,99423,0.0,-67.0,-59.0
71000,99519,0.01,96.0,163.0
72000,99500,0.01,-19.0,-115.0
73000,99477,0.01,-23.0,-4.0
74000,99494,0.01,17.0,40.0
75000,99490,0.01,-4.0,-21.0
75000,99496,0.01,6.0,10.0
76000,99495,0.01,-1.0,-7.0
77000,99493,0.01,-2.0,-1.0
78000,99491,0.01,-2.0,0.0
79000,99499,0.01,8.0,10.0
79000,99491,0.01,-8.0,-16.0
80000,99449,0.0,-42.0,-34.0
81000,99573,0.02,124.0,166.0
82000,99440,0.0,-133.0,-257.0
