Time,Pa,P1
0,99379,0.01
1000,99375,0.01
1000,99379,0.01
2000,99352,0.0
3000,99408,0.01
3000,99383,0.01
4000,99350,0.0
4000,99410,0.01
5000,99379,0.01
6000,99388,0.01
6000,99381,0.01
7000,99368,0.01
8000,99387,0.01
8000,99390,0.01
9000,99361,0.0
9000,99379,0.01
10000,99400,0.01
11000,99362,0.0
11000,99380,0.01
12000,99396,0.01
12000,99351,0.0
13000,99392,0.01
14000,99392,0.01
14000,99347,0.0
15000,99386,0.01
15000,99393,0.01
16000,99352,0.0
17000,99393,0.01
17000,99384,0.01
18000,99342,0.0
18000,99394,0.01
19000,99379,0.01
19000,99362,0.0
20000,99362,0.0
21000,99389,0.01
22000,99364,0.0
22000,99394,0.01
23000,99381,0.01
24000,99405,0.01
25000,99376,0.01
26000,99365,0.0
26000,99396,0.01
27000,99358,0.0
28000,99396,0.01
28000,99376,0.01
29000,99359,0.0
30000,99387,0.01
30000,99361,0.0
31000,99370,0.01
32000,99385,0.01
32000,99357,0.0
33000,99384,0.01
33000,99385,0.01
34000,99359,0.0
35000,99386,0.01
35000,99380,0.01
36000,99371,0.01
36000,99374,0.01
37000,99374,0.01
38000,99364,0.0
38000,100738,0.29
39000,99359,0.0
40000,100623,0.27
40000,99384,0.01
41000,99470,0.03
41000,99393,0.01
42000,99593,0.05
43000,99672,0.07
43000,99373,0.01
44000,99980,0.13
44000,99368,0.01
45000,99890,0.12
46000,99597,0.05
46000,99738,0.08
47000,99903,0.12
47000,100099,0.16
48000,100241,0.19
49000,100369,0.22
49000,100412,0.22
50000,100084,0.16
51000,100260,0.19
51000,100447,0.23
52000,104100,1.0
52000,101603,0.48
53000,101121,0.37
54000,99355,0.0
54000,100991,0.35
55000,100733,0.29
55000,100684,0.28
56000,100585,0.26
57000,100489,0.24
57000,100564,0.26
58000,100702,0.29
59000,100432,0.23
59000,99405,0.01
60000,100174,0.17
60000,100151,0.17
61000,99813,0.1
62000,99437,0.02
62000,99374,0.01
