Time,Pa,P1
0,99450,0.01
1000,99438,0.01
1000,99442,0.01
2000,99443,0.01
2000,99453,0.01
3000,99409,0.01
4000,99427,0.01
4000,99436,0.01
5000,99452,0.01
5000,99446,0.01
6000,99438,0.01
7000,99437,0.01
7000,99437,0.01
8000,99437,0.01
9000,99432,0.01
9000,99445,0.01
10000,99435,0.01
10000,99434,0.01
11000,99443,0.01
11000,99442,0.01
12000,99452,0.01
13000,99455,0.01
13000,113096,1.0
14000,107681,0.61
14000,99440,0.01
15000,99431,0.01
16000,99442,0.01
16000,99445,0.01
17000,99447,0.01
18000,99438,0.01
18000,99450,0.01
19000,99449,0.01
20000,99454,0.01
21000,99450,0.01
22000,99450,0.01
22000,99439,0.01
23000,99442,0.01
24000,99434,0.01
24000,99434,0.01
25000,99432,0.01
25000,99440,0.01
26000,99437,0.01
27000,99438,0.01
27000,99429,0.01
28000,99440,0.01
28000,99430,0.01
29000,99438,0.01
30000,99437,0.01
30000,99435,0.01
31000,99443,0.01
32000,99440,0.01
32000,99437,0.01
33000,99441,0.01
33000,99435,0.01
34000,99435,0.01
35000,99435,0.01
35000,99434,0.01
36000,99443,0.01
36000,99443,0.01
37000,99439,0.01
38000,99448,0.01
38000,99443,0.01
39000,99438,0.01
39000,99437,0.01
40000,99446,0.01
41000,99442,0.01
41000,99436,0.01
42000,99440,0.01
43000,99435,0.01
43000,99441,0.01
44000,99436,0.01
44000,99443,0.01
45000,99439,0.01
46000,99441,0.01
46000,99442,0.01
47000,99444,0.01
47000,99439,0.01
48000,99448,0.01
49000,99431,0.01
49000,99427,0.01
50000,99443,0.01
51000,99428,0.01
51000,99427,0.01
52000,99435,0.01
52000,99440,0.01
53000,99442,0.01
54000,99436,0.01
54000,99437,0.01
55000,99436,0.01
55000,99430,0.01
56000,99452,0.01
57000,99470,0.02
57000,100646,0.1
58000,100321,0.08
59000,100774,0.11
59000,100652,0.1
60000,100440,0.09
60000,100009,0.05
61000,99467,0.02
62000,99437,0.01
62000,99429,0.01
63000,101494,0.16
64000,99463,0.01
65000,100697,0.1
66000,103017,0.27
67000,99450,0.01
67000,99460,0.01
68000,99434,0.01
69000,99439,0.01
70000,99348,0.01
71000,99441,0.01
72000,109635,0.75
73000,99395,0.01
74000,99444,0.01
75000,99346,0.01
76000,101277,0.15
76000,100763,0.11
77000,99446,0.01
78000,99350,0.01
79000,110984,0.85
80000,99437,0.01
81000,99446,0.01
81000,99478,0.02
82000,99433,0.01
83000,99441,0.01
83000,99425,0.01
84000,99429,0.01
85000,99445,0.01
85000,99424,0.01
86000,99436,0.01
86000,99432,0.01
87000,99434,0.01
88000,99431,0.01
88000,99431,0.01
89000,99430,0.01
89000,99428,0.01
90000,99416,0.01
91000,99451,0.01
91000,99455,0.01
92000,99450,0.01
93000,99431,0.01
93000,99430,0.01
94000,99436,0.01
94000,99434,0.01
95000,99440,0.01
96000,99430,0.01
96000,99440,0.01
97000,99431,0.01
97000,99438,0.01
98000,99441,0.01
99000,99429,0.01
99000,99433,0.01
100000,99422,0.01
101000,99407,0.01
101000,99442,0.01
102000,99436,0.01
102000,99430,0.01
103000,99428,0.01
104000,99446,0.01
104000,99442,0.01
105000,99438,0.01
105000,99429,0.01
106000,99432,0.01
107000,99424,0.01
107000,99386,0.01
108000,99427,0.01
108000,99426,0.01
109000,99433,0.01
110000,99442,0.01
110000,99494,0.02
111000,99462,0.01
112000,99461,0.01
112000,99438,0.01
113000,99446,0.01
114000,99428,0.01
114000,99257,0.0
115000,99441,0.01
115000,99445,0.01
116000,99437,0.01
117000,99435,0.01
117000,99428,0.01
118000,99439,0.01
119000,99438,0.01
119000,99440,0.01
