Time,Pa,P1
0,99383,0.0
1000,99395,0.01
1000,99384,0.0
2000,99379,0.0
2000,99384,0.0
3000,99377,0.0
3000,99389,0.01
4000,99363,0.0
5000,99395,0.01
6000,99399,0.01
7000,99408,0.01
7000,99395,0.01
8000,99355,0.0
8000,99417,0.01
9000,99397,0.01
10000,99382,0.0
10000,99400,0.01
11000,99382,0.0
11000,100082,0.09
12000,106701,0.91
13000,99389,0.01
14000,99345,0.0
14000,99408,0.01
15000,99385,0.0
16000,99371,0.0
16000,99388,0.01
17000,99381,0.0
17000,99387,0.01
18000,99382,0.0
19000,99386,0.01
19000,99377,0.0
20000,99381,0.0
20000,99381,0.0
21000,99387,0.01
22000,99393,0.01
22000,99392,0.01
23000,99391,0.01
24000,99374,0.0
25000,99368,0.0
26000,99394,0.01
26000,99405,0.01
27000,99385,0.0
28000,99403,0.01
28000,99417,0.01
29000,99399,0.01
29000,99413,0.01
30000,99404,0.01
31000,99401,0.01
31000,99407,0.01
32000,99391,0.01
33000,99398,0.01
33000,99407,0.01
34000,99418,0.01
34000,99407,0.01
35000,99407,0.01
36000,99406,0.01
36000,99410,0.01
37000,99410,0.01
37000,99402,0.01
38000,99403,0.01
39000,99391,0.01
39000,99392,0.01
40000,100080,0.09
41000,100224,0.11
41000,99853,0.06
42000,99597,0.03
42000,99376,0.0
43000,99373,0.0
44000,99944,0.07
44000,99731,0.05
45000,99662,0.04
45000,99372,0.0
46000,99385,0.0
47000,100111,0.09
47000,99379,0.0
48000,99911,0.07
49000,99412,0.01
49000,99373,0.0
50000,99382,0.0
50000,101003,0.21
51000,100425,0.13
52000,99348,0.0
52000,102167,0.35
53000,101028,0.21
53000,100476,0.14
54000,102250,0.36
55000,100525,0.15
55000,99675,0.04
56000,99420,0.01
57000,99376,0.0
57000,99379,0.0
58000,99373,0.0
58000,99381,0.0
59000,99369,0.0
60000,99373,0.0
60000,99695,0.04
61000,107412,1.0
61000,99377,0.0
62000,99384,0.0
63000,99382,0.0
63000,99374,0.0
64000,99351,0.0
65000,99387,0.01
65000,99351,0.0
66000,99398,0.01
66000,99359,0.0
67000,99393,0.01
68000,99373,0.0
68000,101347,0.25
69000,102540,0.4
70000,102531,0.39
71000,99377,0.0
72000,99381,0.0
