Time,Pa,P1,first_derivative,second_derivative
0,99658,0.05,,
1000,99435,0.01,-223.0,
2000,99432,0.01,-3.0,220.0
3000,99435,0.01,3.0,6.0
3000,99435,0.01,0.0,-3.0
5000,99430,0.01,-5.0,-5.0
6000,99430,0.01,0.0,5.0
6000,99436,0.01,6.0,6.0
7000,99440,0.01,4.0,-2.0
8000,99427,0.01,-13.0,-17.0
9000,99438,0.01,11.0,24.0
11000,99436,0.01,-2.0,-13.0
12000,99436,0.01,0.0,2.0
12000,99442,0.01,6.0,6.0
13000,99434,0.01,-8.0,-14.0
14000,99440,0.01,6.0,14.0
14000,99442,0.01,2.0,-4.0
15000,99441,0.01,-1.0,-3.0
15000,99439,0.01,-2.0,-1.0
16000,99424,0.01,-15.0,-13.0
17000,99428,0.01,4.0,19.0
18000,99436,0.01,8.0,4.0
19000,99429,0.01,-7.0,-15.0
20000,99434,0.01,5.0,12.0
21000,99432,0.01,-2.0,-7.0
22000,99440,0.01,8.0,10.0
23000,99433,0.01,-7.0,-15.0
23000,99437,0.01,4.0,11.0
24000,99433,0.01,-4.0,-8.0
25000,99439,0.01,6.0,10.0
26000,99428,0.01,-11.0,-17.0
27000,99439,0.01,11.0,22.0
28000,99436,0.01,-3.0,-14.0
29000,99437,0.01,1.0,4.0
30000,99438,0.01,1.0,0.0
30000,99437,0.01,-1.0,-2.0
31000,99432,0.01,-5.0,-4.0
32000,99426,0.01,-6.0,-1.0
33000,99437,0.01,11.0,17.0
34000,99436,0.01,-1.0,-12.0
35000,99426,0.01,-10.0,-9.0
35000,99436,0.01,10.0,20.0
36000,99439,0.01,3.0,-7.0
37000,99433,0.01,-6.0,-9.0
38000,99428,0.01,-5.0,1.0
40000,99422,0.01,-6.0,-1.0
40000,99444,0.01,22.0,28.0
41000,99442,0.01,-2.0,-24.0
42000,99437,0.01,-5.0,-3.0
42000,99439,0.01,2.0,7.0
43000,99436,0.01,-3.0,-5.0
44000,99448,0.01,12.0,15.0
45000,100477,0.18,1029.0,1017.0
46000,100572,0.2,95.0,-934.0
47000,100443,0.18,-129.0,-224.0
49000,99429,0.01,-1014.0,-885.0
50000,100129,0.13,700.0,1714.0
51000,101188,0.3,1059.0,359.0
52000,99418,0.01,-1770.0,-2829.0
53000,99430,0.01,12.0,1782.0
53000,99418,0.01,-12.0,-24.0
54000,99712,0.06,294.0,306.0
55000,99566,0.03,-146.0,-440.0
55000,99435,0.01,-131.0,15.0
56000,99442,0.01,7.0,138.0
57000,99428,0.01,-14.0,-21.0
59000,105444,1.0,6016.0,6030.0
59000,99717,0.06,-5727.0,-11743.0
60000,99412,0.01,-305.0,5422.0
61000,99410,0.01,-2.0,303.0
61000,99434,0.01,24.0,26.0
62000,99490,0.02,56.0,32.0
63000,99363,0.0,-127.0,-183.0
