Time, Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
523415, -00276.37, 00028.32, 00957.03,-00000.81, 00000.47,-00002.66,-00045.45, 00023.40, 00048.30, 00033.78,98634.12,14.31,0.97
523729, -00286.62, 00052.25, 00979.00, 00008.73, 00003.85, 00001.40,-00045.00, 00026.25, 00049.80, 00033.88,98632.08,14.31,0.97
524047, -00262.21, 00185.06, 00927.73, 00000.94, 00010.17,-00002.29,-00046.35, 00027.15, 00049.50, 00033.78,98639.09,14.31,0.97
524361, -00302.73, 00126.46, 00979.98,-00006.66,-00001.99,-00002.24,-00045.45, 00027.75, 00049.80, 00033.64,98641.18,14.31,0.97
524675, -00282.71, 00125.49, 00961.43,-00003.09,-00002.78,-00000.03,-00044.85, 00027.15, 00049.20, 00033.68,98641.19,14.31,0.97
524989, -00288.57, 00120.12, 00997.56,-00000.27, 00003.37,-00000.25,-00045.15, 00025.20, 00047.70, 00033.59,98651.85,14.31,0.97
525307, -00268.07, 00115.23, 00953.61,-00002.92,-00001.11,-00002.12,-00045.75, 00027.00, 00049.35, 00033.78,98644.50,14.31,0.97
525621, -00278.81, 00082.03, 00962.89,-00005.02, 00006.32,-00000.94,-00044.55, 00025.05, 00050.10, 00033.83,98640.55,14.31,0.97
525935, -00287.60, 00089.84, 00947.75,-00002.38,-00001.22,-00001.83,-00045.75, 00027.00, 00048.60, 00033.68,98642.63,14.31,0.97
526249, -00281.74, 00119.14, 00958.98, 00003.27,-00000.59, 00003.08,-00045.60, 00026.40, 00050.25, 00033.88,98634.25,14.31,0.97
526567, -00260.25, 00086.91, 00931.15, 00000.89, 00007.39,-00005.76,-00046.50, 00028.65, 00049.05, 00033.83,102813.16,14.92,1.02
526881, -00271.97, 00124.02, 00983.89, 00007.80, 00002.80, 00001.83,-00045.15, 00028.05, 00049.20, 00033.88,98965.08,14.33,0.97
527195, -00317.38, 00087.40, 00951.66,-00022.17, 00018.15,-00005.08,-00046.20, 00025.50, 00049.80, 00033.97,98652.88,14.31,0.97
