Time,Pa,P1,first_derivative,second_derivative
0,99439,0.0,,
0,99445,0.01,6.0,
1000,99443,0.01,-2.0,-8.0
2000,99441,0.01,-2.0,0.0
2000,99444,0.01,3.0,5.0
3000,99439,0.0,-5.0,-8.0
3000,99442,0.01,3.0,8.0
4000,99436,0.0,-6.0,-9.0
5000,99449,0.01,13.0,19.0
6000,99448,0.01,-1.0,-14.0
6000,99441,0.01,-7.0,-6.0
7000,99447,0.01,6.0,13.0
8000,99450,0.01,3.0,-3.0
8000,99457,0.01,7.0,4.0
9000,99443,0.01,-14.0,-21.0
10000,99438,0.0,-5.0,9.0
11000,99441,0.01,3.0,8.0
12000,99444,0.01,3.0,0.0
13000,99450,0.01,6.0,3.0
13000,99434,0.0,-16.0,-22.0
14000,99443,0.01,9.0,25.0
15000,99437,0.0,-6.0,-15.0
15000,99441,0.01,4.0,10.0
16000,99436,0.0,-5.0,-9.0
17000,99440,0.01,4.0,9.0
17000,99432,0.0,-8.0,-12.0
18000,99444,0.01,12.0,20.0
18000,99441,0.01,-3.0,-15.0
19000,99437,0.0,-4.0,-1.0
20000,99436,0.0,-1.0,3.0
20000,99438,0.0,2.0,3.0
21000,99441,0.01,3.0,1.0
21000,99431,0.0,-10.0,-13.0
22000,99444,0.01,13.0,23.0
23000,99441,0.01,-3.0,-16.0
23000,99435,0.0,-6.0,-3.0
24000,99436,0.0,1.0,7.0
25000,99435,0.0,-1.0,-2.0
25000,99436,0.0,1.0,2.0
26000,99438,0.0,2.0,1.0
26000,99440,0.01,2.0,0.0
27000,99435,0.0,-5.0,-7.0
28000,99432,0.0,-3.0,2.0
28000,99443,0.01,11.0,14.0
29000,99444,0.01,1.0,-10.0
29000,99438,0.0,-6.0,-7.0
30000,99444,0.01,6.0,12.0
31000,99444,0.01,0.0,-6.0
31000,99445,0.01,1.0,1.0
32000,99440,0.01,-5.0,-6.0
32000,99432,0.0,-8.0,-3.0
33000,99451,0.01,19.0,27.0
34000,99444,0.01,-7.0,-26.0
34000,99447,0.01,3.0,10.0
35000,99900,0.06,453.0,450.0
36000,99829,0.05,-71.0,-524.0
36000,100089,0.08,260.0,331.0
37000,99879,0.06,-210.0,-470.0
37000,99441,0.01,-438.0,-228.0
38000,99420,0.0,-21.0,417.0
39000,100168,0.09,748.0,769.0
39000,101690,0.27,1522.0,774.0
40000,99539,0.02,-2151.0,-3673.0
40000,99427,0.0,-112.0,2039.0
41000,99442,0.01,15.0,127.0
42000,99420,0.0,-22.0,-37.0
42000,99444,0.01,24.0,46.0
43000,99442,0.01,-2.0,-26.0
44000,99455,0.01,13.0,15.0
44000,99440,0.01,-15.0,-28.0
45000,99427,0.0,-13.0,2.0
45000,100147,0.09,720.0,733.0
46000,101750,0.28,1603.0,883.0
47000,104210,0.57,2460.0,857.0
47000,100317,0.11,-3893.0,-6353.0
48000,99440,0.01,-877.0,3016.0
48000,101598,0.26,2158.0,3035.0
49000,107794,1.0,6196.0,4038.0
50000,99447,0.01,-8347.0,-14543.0
51000,99450,0.01,3.0,8350.0
51000,99450,0.01,0.0,-3.0
52000,99449,0.01,-1.0,-1.0
53000,99398,0.0,-51.0,-50.0
54000,99412,0.0,14.0,65.0
