Time,Pa,P1
0,99429,0.01
1000,99439,0.01
2000,99422,0.01
2000,99426,0.01
3000,99429,0.01
3000,99431,0.01
4000,99424,0.01
5000,99436,0.01
5000,99422,0.01
6000,99435,0.01
6000,99420,0.01
7000,99429,0.01
8000,99426,0.01
8000,99426,0.01
9000,99429,0.01
10000,99431,0.01
10000,99430,0.01
11000,99428,0.01
11000,99424,0.01
12000,99422,0.01
12000,99435,0.01
13000,99437,0.01
14000,99428,0.01
14000,99438,0.01
15000,99430,0.01
15000,100217,0.07
16000,107481,0.65
17000,111830,1.0
17000,99431,0.01
18000,99425,0.01
19000,99419,0.01
19000,99437,0.01
20000,99418,0.01
20000,99430,0.01
21000,99437,0.01
22000,99431,0.01
22000,99428,0.01
23000,99428,0.01
23000,99427,0.01
24000,99441,0.01
25000,99436,0.01
26000,99434,0.01
26000,99433,0.01
27000,99426,0.01
27000,99426,0.01
28000,99424,0.01
29000,99434,0.01
29000,99427,0.01
30000,99425,0.01
30000,99426,0.01
31000,99435,0.01
32000,99432,0.01
32000,99429,0.01
33000,99441,0.01
33000,99427,0.01
34000,99445,0.01
35000,99438,0.01
36000,99443,0.01
36000,99439,0.01
37000,99438,0.01
38000,99438,0.01
39000,99440,0.01
40000,99439,0.01
41000,99434,0.01
41000,99432,0.01
42000,99437,0.01
43000,99444,0.01
44000,99429,0.01
44000,99427,0.01
45000,99435,0.01
45000,99381,0.01
46000,99435,0.01
47000,99427,0.01
47000,99438,0.01
48000,99429,0.01
48000,99436,0.01
49000,99422,0.01
50000,99428,0.01
50000,99434,0.01
51000,99430,0.01
52000,99426,0.01
52000,99430,0.01
53000,99425,0.01
54000,99430,0.01
54000,99423,0.01
55000,99437,0.01
55000,99428,0.01
56000,99436,0.01
57000,99436,0.01
57000,99426,0.01
58000,99430,0.01
59000,99426,0.01
59000,99430,0.01
60000,99424,0.01
61000,100456,0.09
61000,100286,0.08
62000,100261,0.08
62000,99434,0.01
63000,99432,0.01
64000,100513,0.1
64000,100838,0.12
65000,99734,0.04
65000,99437,0.01
66000,99446,0.01
67000,99350,0.0
67000,100612,0.11
68000,104137,0.39
69000,99443,0.01
69000,99430,0.01
70000,99415,0.01
70000,99438,0.01
71000,99419,0.01
72000,99448,0.01
72000,110319,0.88
73000,99455,0.01
73000,99434,0.01
74000,99376,0.01
75000,99430,0.01
75000,99419,0.01
76000,99434,0.01
77000,99428,0.01
77000,99440,0.01
78000,99410,0.01
78000,99292,0.0
79000,99378,0.01
80000,99417,0.01
80000,99427,0.01
81000,99421,0.01
81000,99422,0.01
82000,99428,0.01
83000,99390,0.01
84000,99456,0.01
84000,99446,0.01
86000,99414,0.01
86000,99432,0.01
87000,99427,0.01
87000,99435,0.01
88000,99446,0.01
89000,100265,0.08
90000,99433,0.01
91000,99433,0.01
92000,99429,0.01
93000,99435,0.01
93000,99425,0.01
94000,99431,0.01
95000,99429,0.01
96000,99434,0.01
96000,99431,0.01
97000,99433,0.01
98000,99436,0.01
99000,99416,0.01
100000,99437,0.01
101000,99431,0.01
102000,99424,0.01
102000,99403,0.01
103000,99431,0.01
103000,99416,0.01
104000,99422,0.01
105000,99418,0.01
105000,99423,0.01
106000,99435,0.01
106000,99406,0.01
107000,99427,0.01
108000,99430,0.01
108000,99425,0.01
109000,99422,0.01
110000,99433,0.01
110000,99427,0.01
111000,99429,0.01
111000,99434,0.01
112000,99426,0.01
113000,99394,0.01
113000,99422,0.01
114000,99411,0.01
114000,99339,0.0
115000,99410,0.01
116000,99388,0.01
116000,99417,0.01
117000,99423,0.01
118000,99426,0.01
118000,99402,0.01
119000,99411,0.01
120000,99419,0.01
120000,99421,0.01
121000,99411,0.01
122000,99443,0.01
123000,99429,0.01
123000,99418,0.01
124000,99425,0.01
125000,100335,0.08
125000,99436,0.01
126000,99469,0.01
127000,99428,0.01
128000,99406,0.01
128000,99451,0.01
129000,99444,0.01
129000,99436,0.01
130000,99425,0.01
131000,99420,0.01
131000,99427,0.01
132000,99428,0.01
132000,99430,0.01
133000,99416,0.01
134000,99423,0.01
134000,99427,0.01
135000,99424,0.01
136000,99421,0.01
136000,99417,0.01
137000,99429,0.01
137000,99378,0.01
138000,99417,0.01
139000,99425,0.01
139000,99394,0.01
140000,99420,0.01
141000,99424,0.01
141000,99426,0.01
142000,99426,0.01
142000,99397,0.01
143000,99427,0.01
144000,99424,0.01
145000,99427,0.01
146000,99433,0.01
147000,99437,0.01
148000,99425,0.01
148000,99426,0.01
149000,99429,0.01
150000,99428,0.01
150000,99411,0.01
151000,99427,0.01
151000,99417,0.01
152000,99438,0.01
153000,99434,0.01
154000,99440,0.01
160000,99450,0.01
160000,99438,0.01
161000,99467,0.01
162000,99440,0.01
163000,99461,0.01
164000,99442,0.01
165000,99427,0.01
166000,99417,0.01
166000,99432,0.01
167000,99405,0.01
167000,99405,0.01
168000,99444,0.01
169000,99420,0.01
170000,99420,0.01
170000,99412,0.01
171000,99422,0.01
172000,99417,0.01
173000,99419,0.01
173000,99427,0.01
174000,99415,0.01
175000,99416,0.01
176000,99422,0.01
177000,99425,0.01
178000,99425,0.01
179000,99418,0.01
179000,99413,0.01
180000,99420,0.01
181000,99422,0.01
182000,99416,0.01
183000,99419,0.01
183000,99422,0.01
184000,99417,0.01
185000,99430,0.01
186000,99415,0.01
187000,99425,0.01
188000,99418,0.01
188000,99427,0.01
189000,99423,0.01
190000,99419,0.01
191000,99418,0.01
191000,99412,0.01
