Time,Pa,P1,first_derivative,second_derivative
0,99491,0.01,,
0,99498,0.01,7.0,
1000,99492,0.01,-6.0,-13.0
1000,99478,0.0,-14.0,-8.0
2000,99472,0.0,-6.0,8.0
3000,99476,0.0,4.0,10.0
3000,99480,0.0,4.0,0.0
4000,99489,0.01,9.0,5.0
5000,99482,0.01,-7.0,-16.0
5000,99478,0.0,-4.0,3.0
6000,99466,0.0,-12.0,-8.0
6000,99486,0.01,20.0,32.0
7000,99482,0.01,-4.0,-24.0
8000,99481,0.0,-1.0,3.0
8000,99479,0.0,-2.0,-1.0
9000,99472,0.0,-7.0,-5.0
9000,99480,0.0,8.0,15.0
10000,99484,0.01,4.0,-4.0
11000,99475,0.0,-9.0,-13.0
11000,99481,0.0,6.0,15.0
12000,99472,0.0,-9.0,-15.0
12000,99478,0.0,6.0,15.0
13000,99494,0.01,16.0,10.0
14000,99482,0.01,-12.0,-28.0
14000,99477,0.0,-5.0,7.0
15000,99469,0.0,-8.0,-3.0
16000,99492,0.01,23.0,31.0
16000,99483,0.01,-9.0,-32.0
17000,99476,0.0,-7.0,2.0
18000,99458,0.0,-18.0,-11.0
18000,99487,0.01,29.0,47.0
19000,99487,0.01,0.0,-29.0
19000,99483,0.01,-4.0,-4.0
20000,99464,0.0,-19.0,-15.0
21000,99469,0.0,5.0,24.0
21000,99481,0.0,12.0,7.0
22000,99484,0.01,3.0,-9.0
23000,99488,0.01,4.0,1.0
24000,99477,0.0,-11.0,-15.0
24000,99489,0.01,12.0,23.0
25000,99492,0.01,3.0,-9.0
26000,99471,0.0,-21.0,-24.0
27000,99485,0.01,14.0,35.0
28000,99472,0.0,-13.0,-27.0
28000,99475,0.0,3.0,16.0
29000,99451,0.0,-24.0,-27.0
29000,99468,0.0,17.0,41.0
30000,99480,0.0,12.0,-5.0
31000,99476,0.0,-4.0,-16.0
31000,99477,0.0,1.0,5.0
32000,99460,0.0,-17.0,-18.0
33000,99486,0.01,26.0,43.0
34000,99486,0.01,0.0,-26.0
35000,99477,0.0,-9.0,-9.0
35000,99479,0.0,2.0,11.0
36000,99487,0.01,8.0,6.0
37000,99486,0.01,-1.0,-9.0
38000,99475,0.0,-11.0,-10.0
38000,99483,0.01,8.0,19.0
39000,99489,0.01,6.0,-2.0
40000,99485,0.01,-4.0,-10.0
41000,99466,0.0,-19.0,-15.0
42000,99496,0.01,30.0,49.0
42000,99477,0.0,-19.0,-49.0
43000,99458,0.0,-19.0,0.0
44000,99468,0.0,10.0,29.0
44000,99485,0.01,17.0,7.0
45000,99485,0.01,0.0,-17.0
46000,99477,0.0,-8.0,-8.0
46000,99438,0.0,-39.0,-31.0
47000,99466,0.0,28.0,67.0
47000,100462,0.12,996.0,968.0
48000,101449,0.23,987.0,-9.0
48000,101098,0.19,-351.0,-1338.0
49000,102496,0.35,1398.0,1749.0
50000,101366,0.22,-1130.0,-2528.0
50000,108071,1.0,6705.0,7835.0
51000,104424,0.58,-3647.0,-10352.0
51000,100724,0.15,-3700.0,-53.0
52000,99514,0.01,-1210.0,2490.0
52000,99514,0.01,0.0,1210.0
53000,105182,0.67,5668.0,5668.0
54000,101987,0.3,-3195.0,-8863.0
54000,99464,0.0,-2523.0,672.0
55000,99467,0.0,3.0,2526.0
56000,99470,0.0,3.0,0.0
56000,99476,0.0,6.0,3.0
57000,99445,0.0,-31.0,-37.0
