Test10.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
507663  00306.88, 00318.12, 00882.81, 00010.10, 00000.34, 00000.03, 00000.00, 00000.00, 00000.00, 00034.02,99510.18,14.43,0.98
507977  00332.52, 00373.05, 00861.33, 00011.03,-00004.52, 00001.18, 00000.00, 00000.00, 00000.00, 00034.02,99512.67,14.44,0.98
508291  00353.52, 00492.68, 00789.55, 00044.09,-00011.89,-00008.52, 00000.00, 00000.00, 00000.00, 00033.88,99507.20,14.43,0.98
508609  00468.02, 00847.66, 00276.12, 00126.50,-00014.98,-00004.61, 00000.00, 00000.00, 00000.00, 00034.02,99520.51,14.44,0.98
508923  00351.32, 00930.18,-00109.86, 00002.29,-00017.45, 00007.66, 00000.00, 00000.00, 00000.00, 00034.16,99508.57,14.43,0.98
509237  00383.54, 00904.54,-00181.40,-00024.58, 00010.84, 00003.20, 00000.00, 00000.00, 00000.00, 00033.68,99507.97,14.43,0.98
509551  00340.33, 00909.42,-00173.58,-00004.63, 00003.05,-00001.59, 00000.00, 00000.00, 00000.00, 00033.83,99511.88,14.43,0.98
509869  00446.78, 00891.60,-00155.76,-00009.10, 00005.84, 00000.80, 00000.00, 00000.00, 00000.00, 00034.02,99513.24,14.43,0.98
510183  00427.49, 00884.28,-00099.37,-00011.97, 00002.29,-00004.62, 00000.00, 00000.00, 00000.00, 00033.88,99503.11,14.43,0.98
510497  00394.04, 00880.13,-00063.96,-00006.24,-00003.02, 00000.95, 00000.00, 00000.00, 00000.00, 00033.88,99506.21,14.43,0.98
510811  00410.64, 00884.03,-00036.62,-00000.34,-00004.75,-00002.47, 00000.00, 00000.00, 00000.00, 00033.88,99513.49,14.43,0.98
511129  00418.21, 00904.79,-00017.33,-00006.37, 00008.40,-00001.65, 00000.00, 00000.00, 00000.00, 00034.02,99526.30,14.44,0.98
511443  00460.69, 00816.41, 00129.88,-00082.21, 00027.44, 00000.32, 00000.00, 00000.00, 00000.00, 00033.78,99518.55,14.43,0.98
511757  00325.93, 00724.12, 00447.75,-00029.13,-00007.44,-00006.21, 00000.00, 00000.00, 00000.00, 00034.02,99509.72,14.43,0.98
512071  00423.83, 00647.95, 00634.77,-00008.79,-00010.65,-00003.73, 00000.00, 00000.00, 00000.00, 00034.02,99508.35,14.43,0.98
512389  00390.38, 00659.67, 00600.34,-00006.77, 00009.65, 00005.40, 00000.00, 00000.00, 00000.00, 00034.12,99509.41,14.43,0.98
512703  00409.67, 00509.52, 00721.19,-00018.98, 00001.33, 00001.95, 00000.00, 00000.00, 00000.00, 00034.12,99494.70,14.43,0.98
513017  00377.20, 00546.14, 00729.00,-00004.41,-00007.21,-00001.20, 00000.00, 00000.00, 00000.00, 00034.02,99506.97,14.43,0.98
513331  00369.38, 00499.27, 00751.22,-00003.62,-00008.11,-00005.19, 00000.00, 00000.00, 00000.00, 00033.88,99521.36,14.43,0.98
513649  00376.95, 00545.17, 00730.47, 00001.36,-00000.95, 00000.16, 00000.00, 00000.00, 00000.00, 00034.12,99514.84,14.43,0.98
513962  00383.30, 00540.04, 00731.69,-00001.25, 00008.56,-00000.49, 00000.00, 00000.00, 00000.00, 00034.02,99511.54,14.43,0.98
514276  00395.75, 00813.48, 00580.57, 00122.08,-00010.68,-00007.79, 00000.00, 00000.00, 00000.00, 00034.02,99512.63,14.43,0.98
514590  00442.87, 00949.95, 00012.94, 00075.85,-00039.37, 00008.06, 00000.00, 00000.00, 00000.00, 00034.02,99513.38,14.43,0.98
514915  00404.05, 00896.24,-00127.69, 00003.29, 00007.47, 00003.93, 00000.00, 00000.00, 00000.00, 00033.59,99504.18,14.43,0.98
515228  00314.45, 00906.74,-00163.57,-00023.49, 00016.85, 00001.53, 00000.00, 00000.00, 00000.00, 00034.21,99483.40,14.43,0.98
515542  00451.90, 00842.77, 00093.02,-00052.74, 00014.63,-00003.98, 00000.00, 00000.00, 00000.00, 00033.88,99503.20,14.43,0.98
515856  00401.37, 00785.40, 00446.04,-00080.64, 00018.21, 00003.69, 00000.00, 00000.00, 00000.00, 00033.97,99509.07,14.43,0.98
516174  00371.34, 00620.61, 00563.23,-00027.77, 00029.15,-00014.89, 00000.00, 00000.00, 00000.00, 00033.97,99526.45,14.44,0.98
516488  00337.40, 00606.93, 00707.28, 00006.03,-00005.37, 00029.05, 00000.00, 00000.00, 00000.00, 00033.78,99533.49,14.44,0.98
516802  00443.36, 00565.19, 00672.61, 00029.81,-00011.86,-00012.61, 00000.00, 00000.00, 00000.00, 00033.88,99517.72,14.44,0.98
517116  00422.36, 00906.25, 00200.20, 00079.29,-00023.78, 00008.19, 00000.00, 00000.00, 00000.00, 00033.88,99508.74,14.43,0.98
517434  00337.65, 00862.55,-00093.75, 00002.71, 00000.11,-00008.47, 00000.00, 00000.00, 00000.00, 00033.97,99453.08,14.42,0.98
517748  00442.38, 00948.73, 00061.28,-00014.27, 00007.01, 00009.97, 00000.00, 00000.00, 00000.00, 00033.88,99461.16,14.43,0.98
518062  00459.96, 00887.94, 00053.22,-00008.79, 00010.49,-00004.75, 00000.00, 00000.00, 00000.00, 00033.88,99513.59,14.44,0.98
518376  00459.23, 00777.83, 00278.81,-00099.50, 00022.69, 00005.19, 00000.00, 00000.00, 00000.00, 00033.78,99538.29,14.43,0.98
518694  00376.46, 00487.79, 00739.26,-00100.14,-00010.40, 00009.21, 00000.00, 00000.00, 00000.00, 00034.12,99483.27,14.43,0.98
519008  00434.08, 00468.99, 00889.40,-00013.60, 00005.45,-00007.46, 00000.00, 00000.00, 00000.00, 00033.88,99463.29,14.43,0.98
519322  00399.17, 00322.51, 00827.64, 00010.28, 00011.63, 00002.49, 00000.00, 00000.00, 00000.00, 00033.97,99523.59,14.43,0.98
519636  00298.34, 00490.72, 00807.86, 00011.69,-00004.25,-00012.95, 00000.00, 00000.00, 00000.00, 00033.97,99500.76,14.43,0.98
519954  00295.90, 00425.54, 00861.82, 00003.53,-00003.92, 00006.05, 00000.00, 00000.00, 00000.00, 00034.12,99704.39,14.46,0.99
520268  00420.41, 00622.31, 00617.19, 00135.29,-00015.76,-00015.14, 00000.00, 00000.00, 00000.00, 00033.78,99523.77,14.43,0.98
520582  00375.73, 00979.25,-00075.44, 00041.74, 00001.47, 00007.75, 00000.00, 00000.00, 00000.00, 00033.88,99515.51,14.43,0.98
520896  00364.01, 00965.33,-00008.79,-00006.70, 00002.49, 00007.90, 00000.00, 00000.00, 00000.00, 00034.02,99526.38,14.43,0.98
521214  00420.17, 00891.11, 00071.78,-00011.01, 00011.25, 00006.10, 00000.00, 00000.00, 00000.00, 00033.83,99488.94,14.43,0.98
521528  00417.72, 00759.77, 00440.43,-00186.55, 00030.77,-00023.52, 00000.00, 00000.00, 00000.00, 00033.83,99487.63,14.43,0.98
521842  00200.93, 00354.74, 00904.30,-00073.01, 00006.15, 00007.79, 00000.00, 00000.00, 00000.00, 00033.64,99514.41,14.43,0.98
522156  00169.92, 00309.57, 00872.56,-00003.85, 00039.79,-00046.24, 00000.00, 00000.00, 00000.00, 00033.49,99516.21,14.43,0.98
522474  00169.68, 00371.58, 00817.63, 00009.58,-00032.62, 00012.34, 00000.00, 00000.00, 00000.00, 00033.68,99518.36,14.43,0.98
522788  00391.85, 00397.22, 00916.02,-00006.51,-00019.81, 00033.44, 00000.00, 00000.00, 00000.00, 00033.68,99505.95,14.43,0.98
523102  00187.74, 00349.85, 00886.23,-00000.34, 00043.56,-00038.42, 00000.00, 00000.00, 00000.00, 00034.02,99505.52,14.43,0.98
523416  00036.62, 00336.18, 00756.35,-00000.92, 00024.59,-00014.12, 00000.00, 00000.00, 00000.00, 00033.88,99475.41,14.43,0.98
523734  00271.00, 00366.94, 01024.90,-00026.31,-00035.53, 00000.23, 00000.00, 00000.00, 00000.00, 00034.12,100454.77,14.58,0.99
524047  00252.93, 00208.74, 00839.60,-00008.73,-00022.62,-00024.31, 00000.00, 00000.00, 00000.00, 00033.88,103582.67,15.04,1.02
524361  00249.76, 00302.00, 00839.36, 00006.78, 00021.15, 00000.69, 00000.00, 00000.00, 00000.00, 00033.97,103282.46,14.98,1.02
524675  00172.36, 00216.06, 00955.81, 00015.76,-00009.01, 00005.05, 00000.00, 00000.00, 00000.00, 00033.88,104486.52,15.15,1.03
525000  00357.18, 00281.74, 00919.68, 00001.45,-00009.15, 00003.68, 00000.00, 00000.00, 00000.00, 00033.78,103780.30,15.05,1.02
525313  00256.10, 00309.57, 00883.54,-00013.83, 00004.89, 00001.75, 00000.00, 00000.00, 00000.00, 00034.02,105453.48,15.31,1.04
525627  00342.77, 00293.46, 00872.31,-00001.34,-00012.39, 00005.88, 00000.00, 00000.00, 00000.00, 00033.68,106780.72,15.48,1.05
525945  00387.94, 00325.20, 00864.01, 00000.43,-00009.93, 00014.44, 00000.00, 00000.00, 00000.00, 00034.02,103638.71,15.01,1.02
526258  00365.97, 00286.62, 00793.21,-00024.20,-00003.75,-00013.78, 00000.00, 00000.00, 00000.00, 00033.68,101091.03,14.67,1.00
526572  00344.24, 00370.85, 00771.24, 00006.18, 00017.69, 00023.66, 00000.00, 00000.00, 00000.00, 00033.83,107955.38,15.68,1.07
526886  00375.49, 00230.96, 00820.80, 00023.15, 00013.24, 00024.34, 00000.00, 00000.00, 00000.00, 00033.88,108176.48,15.68,1.07
527204  00299.80, 00368.16, 00893.55,-00016.53,-00005.85,-00007.96, 00000.00, 00000.00, 00000.00, 00033.68,104889.33,15.21,1.03
527517  00376.71, 00253.17, 00875.73, 00010.47, 00012.48, 00018.92, 00000.00, 00000.00, 00000.00, 00034.02,99485.76,14.43,0.98
527831  00366.94, 00223.39, 00913.09, 00011.37,-00006.79,-00003.92, 00000.00, 00000.00, 00000.00, 00033.97,100160.23,14.53,0.99
528145  00361.57, 00722.41, 00622.31, 00156.03,-00010.44,-00006.98, 00000.00, 00000.00, 00000.00, 00033.83,101345.07,14.72,1.00
528463  00531.49, 00949.46,-00228.03, 00127.02,-00041.60, 00033.05, 00000.00, 00000.00, 00000.00, 00033.68,101110.30,14.65,1.00
528776  00441.41, 00879.88,-00325.68, 00013.76, 00001.38, 00008.37, 00000.00, 00000.00, 00000.00, 00034.02,99504.66,14.43,0.98
529090  00388.43, 00847.90,-00418.46, 00000.73,-00011.07, 00001.69, 00000.00, 00000.00, 00000.00, 00034.02,102499.44,14.87,1.01
529404  00416.26, 00698.97,-00512.70, 00006.42,-00002.83,-00022.98, 00000.00, 00000.00, 00000.00, 00033.88,103235.61,14.98,1.02
529722  00211.18, 01071.29,-00115.48,-00250.14, 00042.22, 00001.40, 00000.00, 00000.00, 00000.00, 00033.68,99496.02,14.43,0.98
530035  00217.29,-00062.74, 00886.47,-00209.10, 00018.56,-00040.51, 00000.00, 00000.00, 00000.00, 00033.88,99463.45,14.43,0.98
530349  00302.25,-00292.24, 00918.70,-00033.06, 00026.13,-00055.12, 00000.00, 00000.00, 00000.00, 00033.88,99612.45,14.46,0.98
530663  00279.79,-00338.87, 00906.74, 00032.76, 00002.45, 00016.85, 00000.00, 00000.00, 00000.00, 00033.83,99511.66,14.43,0.98
530981  00303.71,-00156.98, 00921.14, 00024.80,-00015.22,-00004.79, 00000.00, 00000.00, 00000.00, 00033.83,99616.91,14.45,0.98
531294  00368.41,-00051.51, 00909.42, 00009.45, 00001.84,-00016.54, 00000.00, 00000.00, 00000.00, 00033.64,99710.73,14.51,0.99
531608  00335.94,-00098.88, 00942.14, 00002.24, 00003.59,-00020.56, 00000.00, 00000.00, 00000.00, 00033.97,99502.42,14.43,0.98
531922  00307.13,-00003.66, 00963.13, 00009.75,-00004.91,-00008.24, 00000.00, 00000.00, 00000.00, 00033.97,99524.95,14.43,0.98
532240  00315.67,-00022.71, 00957.28, 00000.21,-00008.02,-00005.23, 00000.00, 00000.00, 00000.00, 00033.59,99510.60,14.43,0.98
532554  00327.88, 00020.26, 00946.53, 00000.57, 00001.37,-00000.78, 00000.00, 00000.00, 00000.00, 00033.64,99511.99,14.43,0.98
532868  00343.02,-00006.84, 00940.43, 00006.24,-00001.29,-00000.62, 00000.00, 00000.00, 00000.00, 00033.97,99493.63,14.43,0.98
533182  00334.23, 00014.65, 00901.61, 00010.73, 00003.21, 00013.79, 00000.00, 00000.00, 00000.00, 00033.97,99488.75,14.43,0.98
533500  00344.24, 00037.60, 00917.24, 00000.44,-00004.40,-00002.61, 00000.00, 00000.00, 00000.00, 00034.02,99506.07,14.43,0.98
533560 Single button click acknowledged, data collection ENDED for file: Test10.txt
