Tst3.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
349368  00209.96, 00067.14, 00969.48, 00003.09,-00001.25,-00001.49, 00000.00, 00000.00, 00000.00, 00033.59,99491.83,14.43,0.98
349682  00197.02, 00071.53, 00974.12,-00004.72,-00000.46, 00001.39, 00000.00, 00000.00, 00000.00, 00033.49,99496.68,14.43,0.98
349996  00187.50,-00230.96, 00973.39,-00037.81, 00008.23, 00006.76, 00000.00, 00000.00, 00000.00, 00033.83,99489.68,14.43,0.98
350314  00102.29,-00169.68, 00618.41,-00073.31, 00013.15, 00015.18, 00000.00, 00000.00, 00000.00, 00033.83,99511.63,14.44,0.98
350628  00134.77,-00900.88, 00573.00,-00097.31,-00002.84,-00009.24, 00000.00, 00000.00, 00000.00, 00033.88,99505.69,14.43,0.98
350942  00177.00,-01011.96, 00414.06,-00016.76,-00002.51,-00012.29, 00000.00, 00000.00, 00000.00, 00033.68,99485.65,14.43,0.98
351256  00168.21,-00984.62, 00330.57,-00007.64,-00005.32,-00004.98, 00000.00, 00000.00, 00000.00, 00033.88,99474.22,14.43,0.98
351574  00150.88,-00918.70, 00296.87,-00006.30, 00001.01,-00001.05, 00000.00, 00000.00, 00000.00, 00033.88,99503.08,14.43,0.98
351888  00179.20,-00935.79, 00292.48, 00008.68, 00003.21,-00003.46, 00000.00, 00000.00, 00000.00, 00033.59,99525.20,14.44,0.98
352202  00234.62,-01004.15, 00338.62,-00000.63, 00001.13,-00005.99, 00000.00, 00000.00, 00000.00, 00033.97,99522.13,14.43,0.98
352516  00172.61,-00957.76, 00342.77,-00006.24, 00001.23, 00001.66, 00000.00, 00000.00, 00000.00, 00033.68,99482.41,14.43,0.98
352834  00173.58,-00889.16, 00283.94,-00005.10, 00002.05,-00001.89, 00000.00, 00000.00, 00000.00, 00033.49,99476.07,14.43,0.98
353148  00248.78,-00837.16, 00586.67, 00123.66, 00009.69,-00004.16, 00000.00, 00000.00, 00000.00, 00033.68,99501.40,14.43,0.98
353462  00178.71,-00240.48, 00960.21, 00083.32, 00002.82,-00009.37, 00000.00, 00000.00, 00000.00, 00033.78,99518.55,14.43,0.98
353776  00202.88,-00033.20, 00905.27, 00007.46, 00003.56, 00003.00, 00000.00, 00000.00, 00000.00, 00033.49,99512.50,14.43,0.98
