Test4.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
444687  00201.17,-00440.92, 00820.80, 00131.96, 00003.63,-00015.37, 00000.00, 00000.00, 00000.00, 00033.83,99503.54,14.43,0.98
445001  00242.92, 00259.03, 00959.96, 00103.08, 00011.27,-00007.92, 00000.00, 00000.00, 00000.00, 00033.35,99506.71,14.43,0.98
445316  00176.27, 00407.47, 00814.94,-00008.46,-00000.95, 00000.36, 00000.00, 00000.00, 00000.00, 00033.59,99507.39,14.43,0.98
445634  00201.42, 00459.47, 00862.30, 00000.21, 00004.22,-00004.84, 00000.00, 00000.00, 00000.00, 00033.35,99493.06,14.43,0.98
445948  00205.08, 00473.63, 00885.25,-00008.34, 00000.94,-00000.26, 00000.00, 00000.00, 00000.00, 00033.68,99498.16,14.43,0.98
446262  00174.07, 00431.40, 00830.08,-00003.54,-00000.27,-00000.47, 00000.00, 00000.00, 00000.00, 00033.44,99494.41,14.43,0.98
446576  00198.00, 00454.83, 00884.52,-00000.03,-00002.37,-00002.88, 00000.00, 00000.00, 00000.00, 00033.68,99484.38,14.43,0.98
446894  00208.01, 00441.65, 00894.78,-00009.62,-00002.77, 00000.80, 00000.00, 00000.00, 00000.00, 00033.68,99508.18,14.43,0.98
447208  00183.11, 00381.10, 00865.23,-00038.69,-00001.07, 00007.82, 00000.00, 00000.00, 00000.00, 00033.68,99494.60,14.43,0.98
447521  00210.94,-00030.52, 00968.51,-00101.93,-00000.28, 00008.20, 00000.00, 00000.00, 00000.00, 00033.35,99508.41,14.43,0.98
447836  00174.80,-00601.07, 00800.78,-00121.11,-00012.42, 00000.44, 00000.00, 00000.00, 00000.00, 00033.49,99511.79,14.43,0.98
448154  00190.92,-00803.71, 00550.78,-00025.27, 00001.37, 00001.40, 00000.00, 00000.00, 00000.00, 00033.44,99505.95,14.43,0.98
448468  00205.32,-00775.88, 00580.57,-00003.58,-00000.32,-00001.23, 00000.00, 00000.00, 00000.00, 00033.49,99504.45,14.43,0.98
448782  00229.49,-00856.93, 00583.98, 00001.55,-00004.50,-00004.71, 00000.00, 00000.00, 00000.00, 00033.64,99495.22,14.43,0.98
449095 00209.96,-00793.21, 00544.92,-00004.08,-00000.20,-00002.10, 00000.00, 00000.00, 00000.00, 00033.64,99503.31,14.43,0.98
449425  00188.96,-00760.50, 00552.73, 00002.94, 00002.11, 00004.94, 00000.00, 00000.00, 00000.00, 00033.35,99506.60,14.43,0.98
449739  00282.47,-00832.28, 00690.92, 00036.19,-00003.44,-00014.43, 00000.00, 00000.00, 00000.00, 00033.78,99505.10,14.43,0.98
450052  00243.90,-00479.74, 00858.15, 00127.95, 00002.63,-00012.85, 00000.00, 00000.00, 00000.00, 00033.78,99500.45,14.43,0.98
450366  00208.01, 00142.33, 00934.33, 00058.11, 00007.36,-00006.22, 00000.00, 00000.00, 00000.00, 00033.44,99493.59,14.43,0.98
450685  00228.76, 00202.88, 00995.85,-00004.40, 00006.84,-00000.20, 00000.00, 00000.00, 00000.00, 00033.83,99498.80,14.43,0.98
450999  00206.79, 00194.58, 00973.88,-00007.31,-00004.92, 00003.58, 00000.00, 00000.00, 00000.00, 00033.59,99493.66,14.43,0.98
451313  00169.68, 00181.64, 00905.27,-00003.26, 00000.93, 00000.47, 00000.00, 00000.00, 00000.00, 00033.44,99514.95,14.43,0.98
451626  00166.50, 00147.71, 00950.68, 00000.95, 00004.82,-00002.67, 00000.00, 00000.00, 00000.00, 00033.59,99501.11,14.43,0.98
451951  00213.87, 00155.03, 01004.88,-00005.59, 00000.07, 00000.26, 00000.00, 00000.00, 00000.00, 00033.64,99504.51,14.43,0.98
452266  00186.04, 00129.15, 00957.28,-00005.67, 00001.01, 00001.31, 00000.00, 00000.00, 00000.00, 00033.49,99506.53,14.43,0.98
452580  00184.08, 00048.34, 00918.70,-00034.44, 00006.46, 00006.15, 00000.00, 00000.00, 00000.00, 00033.59,99498.91,14.43,0.98
452893  00205.32,-00456.79, 00853.27,-00119.76,-00001.06, 00012.86, 00000.00, 00000.00, 00000.00, 00033.68,99502.49,14.43,0.98
453211  00222.66,-00767.82, 00728.27,-00036.88,-00009.32,-00008.34, 00000.00, 00000.00, 00000.00, 00033.64,99504.16,14.43,0.98
453526  00196.78,-00805.66, 00577.64,-00006.34,-00006.60,-00003.68, 00000.00, 00000.00, 00000.00, 00033.78,99493.69,14.43,0.98
453840  00197.02,-00756.84, 00579.59, 00001.93, 00003.07, 00001.61, 00000.00, 00000.00, 00000.00, 00033.30,99506.14,14.43,0.98
454153  00198.00,-00817.14, 00616.70,-00001.69, 00000.06,-00001.05, 00000.00, 00000.00, 00000.00, 00033.64,99500.87,14.43,0.98
454471  00179.44,-00766.36, 00585.45,-00004.87,-00001.80,-00001.21, 00000.00, 00000.00, 00000.00, 00033.64,99506.27,14.43,0.98
454786  00193.12,-00763.43, 00595.46, 00005.82, 00002.02, 00003.79, 00000.00, 00000.00, 00000.00, 00033.64,99488.16,14.43,0.98
455099  00210.69,-00782.47, 00674.56, 00024.93, 00002.71,-00001.12, 00000.00, 00000.00, 00000.00, 00033.64,99507.35,14.43,0.98
455413  00167.97,-00233.40, 00907.96, 00123.68,-00000.95,-00008.61, 00000.00, 00000.00, 00000.00, 00033.64,99501.71,14.43,0.98
455731  00148.68, 00210.21, 00918.95, 00001.84, 00008.71,-00003.85, 00000.00, 00000.00, 00000.00, 00033.35,99486.88,14.43,0.98
456045  00164.55, 00201.17, 01009.28,-00005.48,-00001.71, 00001.67, 00000.00, 00000.00, 00000.00, 00033.44,99502.79,14.43,0.98
456359  00160.64, 00145.75, 00943.36,-00016.39,-00007.45, 00001.95, 00000.00, 00000.00, 00000.00, 00033.68,99501.17,14.43,0.98
456674  00162.84, 00104.25, 00953.12,-00002.89,-00003.44,-00003.07, 00000.00, 00000.00, 00000.00, 00033.35,99499.96,14.43,0.98
456991  00166.75, 00117.92, 01013.18,-00013.11, 00000.86,-00000.46, 00000.00, 00000.00, 00000.00, 00033.59,99506.40,14.43,0.98
457306  00190.67,-00087.16, 00974.37,-00076.17,-00005.18, 00008.88, 00000.00, 00000.00, 00000.00, 00033.83,99491.62,14.43,0.98
457620  00098.39,-00583.25, 00726.56,-00084.98,-00004.94, 00008.49, 00000.00, 00000.00, 00000.00, 00033.49,99490.60,14.43,0.98
457933  00223.63,-00846.44, 00688.96,-00017.40, 00000.26, 00000.60, 00000.00, 00000.00, 00000.00, 00033.30,99507.45,14.43,0.98
458252  00154.79,-00771.73, 00559.33,-00009.19,-00006.83,-00005.19, 00000.00, 00000.00, 00000.00, 00033.49,99512.31,14.43,0.98
458566  00180.18,-00774.90, 00537.35, 00005.72, 00000.99, 00000.20, 00000.00, 00000.00, 00000.00, 00033.59,99488.98,14.43,0.98
458880  00202.88,-00826.17, 00601.81, 00000.29, 00000.88, 00002.50, 00000.00, 00000.00, 00000.00, 00033.35,99494.30,14.43,0.98
459194  00192.87,-00751.46, 00534.91, 00003.65,-00002.69,-00000.92, 00000.00, 00000.00, 00000.00, 00033.59,99496.35,14.43,0.98
459512  00203.37,-00828.86, 00619.38,-00001.15,-00000.28,-00007.03, 00000.00, 00000.00, 00000.00, 00033.78,99504.04,14.43,0.98
459825  00177.25,-00713.13, 00629.64, 00041.49, 00004.07,-00006.10, 00000.00, 00000.00, 00000.00, 00033.44,99492.93,14.43,0.98
460140  00208.25,-00388.92, 00927.00, 00104.66, 00002.76,-00009.19, 00000.00, 00000.00, 00000.00, 00033.35,99502.01,14.43,0.98
460454  00179.69,-00103.76, 00925.78,-00000.01, 00003.74,-00003.13, 00000.00, 00000.00, 00000.00, 00033.49,99505.42,14.43,0.98
460772  00217.29,-00127.20, 00997.31,-00005.67,-00003.15,-00002.04, 00000.00, 00000.00, 00000.00, 00033.64,99498.41,14.43,0.98
461085  00185.55,-00126.46, 00936.04, 00000.02,-00000.08,-00002.49, 00000.00, 00000.00, 00000.00, 00033.30,99501.47,14.43,0.98
461399  00194.09,-00148.44, 01006.35,-00002.63, 00003.77,-00001.43, 00000.00, 00000.00, 00000.00, 00033.64,99502.42,14.43,0.98
461713  00195.31,-00165.53, 00931.40,-00018.33,-00001.12, 00001.93, 00000.00, 00000.00, 00000.00, 00033.59,99508.80,14.43,0.98
462038  00161.62,-00487.79, 00912.84,-00056.08, 00002.91, 00009.24, 00000.00, 00000.00, 00000.00, 00033.59,99499.21,14.43,0.98
462352  00139.40,-00539.79, 00797.61,-00010.05, 00000.59, 00005.08, 00000.00, 00000.00, 00000.00, 00033.64,99499.63,14.43,0.98
462666  00113.53,-00584.23, 00818.36,-00006.56,-00002.57,-00001.12, 00000.00, 00000.00, 00000.00, 00033.88,99503.02,14.43,0.98
462981  00117.19,-00605.96, 00798.10,-00002.14, 00001.43, 00002.17, 00000.00, 00000.00, 00000.00, 00033.49,99494.89,14.43,0.98
463298  00068.12,-00585.45, 00738.28,-00007.48,-00000.05, 00002.76, 00000.00, 00000.00, 00000.00, 00033.35,99504.10,14.43,0.98
463612  00072.02,-00636.47, 00795.90, 00003.50, 00000.31,-00001.96, 00000.00, 00000.00, 00000.00, 00033.59,99498.61,14.43,0.98
463926  00089.84,-00473.14, 00814.21, 00065.63,-00019.47,-00018.05, 00000.00, 00000.00, 00000.00, 00033.64,99499.69,14.43,0.98
464240  00166.75, 00156.01, 00968.02, 00046.11, 00016.43,-00002.26, 00000.00, 00000.00, 00000.00, 00033.59,99506.77,14.43,0.98
464558  00150.39, 00141.60, 00997.80,-00019.04,-00000.23, 00001.73, 00000.00, 00000.00, 00000.00, 00033.49,99494.41,14.43,0.98
464873  00110.60, 00070.07, 00937.26,-00002.73, 00001.24,-00001.53, 00000.00, 00000.00, 00000.00, 00033.64,99500.76,14.43,0.98
465187  00121.83, 00030.76, 01031.74,-00008.02, 00003.76,-00002.16, 00000.00, 00000.00, 00000.00, 00033.68,99481.68,14.43,0.98
465500  00101.07,-00146.97, 00917.97,-00095.89, 00015.76, 00008.10, 00000.00, 00000.00, 00000.00, 00033.78,99504.78,14.43,0.98
465819  00036.62,-00628.17, 00785.16,-00067.82,-00004.34,-00005.06, 00000.00, 00000.00, 00000.00, 00033.59,99501.15,14.43,0.98
466133  00041.99,-00740.48, 00630.62, 00001.26, 00009.31, 00009.58, 00000.00, 00000.00, 00000.00, 00033.44,99474.88,14.43,0.98
466447  00011.47,-00745.36, 00708.98, 00004.23, 00006.03, 00008.67, 00000.00, 00000.00, 00000.00, 00033.64,99492.73,14.43,0.98
466761 -00091.55,-00659.18, 00661.87, 00008.26, 00007.36, 00007.67, 00000.00, 00000.00, 00000.00, 00033.49,99486.28,14.43,0.98
467079 -00117.92,-00688.96, 00768.07, 00006.33, 00006.05, 00000.94, 00000.00, 00000.00, 00000.00, 00033.78,99493.25,14.43,0.98
467393 -00186.28,-00612.30, 00726.32, 00005.37, 00008.22, 00002.24, 00000.00, 00000.00, 00000.00, 00033.83,99494.30,14.43,0.98
467706 -00187.74,-00597.17, 00779.05, 00014.39, 00005.91, 00001.82, 00000.00, 00000.00, 00000.00, 00033.49,99487.86,14.43,0.98
468021 -00213.13,-00573.73, 00775.39, 00000.52, 00001.24, 00004.57, 00000.00, 00000.00, 00000.00, 00033.68,99503.18,14.43,0.98
468339 -00245.36,-00571.29, 00756.59,-00003.62,-00005.93,-00003.08, 00000.00, 00000.00, 00000.00, 00033.59,99502.83,14.43,0.98
468653 -00258.30,-00553.71, 00762.21,-00000.69,-00002.33, 00005.93, 00000.00, 00000.00, 00000.00, 00033.35,99501.08,14.43,0.98
468967 -00280.03,-00538.33, 00793.46, 00005.56, 00000.09, 00000.89, 00000.00, 00000.00, 00000.00, 00033.44,99500.09,14.43,0.98
469281 -00274.41,-00553.47, 00797.85,-00000.49, 00008.31, 00000.02, 00000.00, 00000.00, 00000.00, 00033.49,99501.40,14.43,0.98
469599 -00267.82,-00499.51, 00788.09, 00001.83, 00004.85, 00001.73, 00000.00, 00000.00, 00000.00, 00033.68,99502.62,14.43,0.98
469913 -00313.48,-00513.18, 00798.83, 00004.76,-00000.50, 00003.58, 00000.00, 00000.00, 00000.00, 00033.78,99492.69,14.43,0.98
470227 -00307.13,-00535.40, 00792.72, 00002.07, 00004.24, 00002.33, 00000.00, 00000.00, 00000.00, 00033.59,99480.18,14.43,0.98
470541 -00402.83,-00525.15, 00789.55, 00001.30,-00001.55, 00000.11, 00000.00, 00000.00, 00000.00, 00033.68,99492.48,14.43,0.98
470859 -00404.79,-00441.16, 00792.48,-00000.59,-00003.91,-00004.92, 00000.00, 00000.00, 00000.00, 00033.59,100338.05,14.55,0.99
471173 -00364.99,-00374.51, 00838.87, 00003.03,-00008.34, 00000.52, 00000.00, 00000.00, 00000.00, 00033.59,99646.14,14.46,0.98
471487 -00323.73,-00360.11, 00823.49, 00000.79,-00001.99, 00000.54, 00000.00, 00000.00, 00000.00, 00033.44,99484.21,14.43,0.98
471800 -00367.19,-00441.16, 00804.20,-00002.70,-00010.75,-00005.15, 00000.00, 00000.00, 00000.00, 00033.44,101103.80,14.66,1.00
472126 -00286.38,-00419.92, 00843.99, 00001.02,-00002.13,-00004.79, 00000.00, 00000.00, 00000.00, 00033.78,99469.02,14.43,0.98
