Test12.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
649809  00243.90,-00849.37, 00795.65, 00021.87, 00006.48,-00006.86, 00000.00, 00000.00, 00000.00, 00033.64,99510.33,14.43,0.98
650123  00194.34,-00591.80, 00867.92, 00019.97, 00019.08,-00003.85, 00000.00, 00000.00, 00000.00, 00033.68,99513.53,14.43,0.98
650437  00025.15,-00463.13, 00878.42,-00005.44,-00007.94,-00005.90, 00000.00, 00000.00, 00000.00, 00033.49,99505.89,14.43,0.98
650751 -00024.41,-00468.99, 00911.13, 00004.87,-00012.79,-00003.15, 00000.00, 00000.00, 00000.00, 00033.59,99493.27,14.43,0.98
651069  00262.45,-00555.18, 00898.68,-00000.63,-00084.01, 00003.11, 00000.00, 00000.00, 00000.00, 00033.35,99507.23,14.43,0.98
651382  00418.70,-00282.23, 00825.20, 00046.06, 00000.59, 00034.73, 00000.00, 00000.00, 00000.00, 00033.68,99523.84,14.44,0.98
651696  00466.80,-00308.59, 00790.53, 00009.74, 00000.61, 00011.33, 00000.00, 00000.00, 00000.00, 00033.49,99523.31,14.44,0.98
652010  00351.32,-00248.29, 00883.54, 00003.56,-00005.85,-00013.82, 00000.00, 00000.00, 00000.00, 00033.59,99521.10,14.44,0.98
652328  00383.06,-00184.57, 00933.59,-00006.76, 00000.16,-00002.39, 00000.00, 00000.00, 00000.00, 00033.30,99533.32,14.44,0.98
652641  00323.97,-00191.41, 00890.38, 00022.90,-00002.64, 00000.75, 00000.00, 00000.00, 00000.00, 00033.59,99512.88,14.44,0.98
652955  00365.97,-00121.34, 00917.72, 00007.68, 00003.89, 00012.24, 00000.00, 00000.00, 00000.00, 00033.59,99520.70,14.43,0.98
653269  00314.21,-00101.81, 00874.27, 00043.44, 00011.79,-00001.72, 00000.00, 00000.00, 00000.00, 00033.64,99514.91,14.43,0.98
653586  00371.09,-00252.20, 00989.01,-00002.85,-00006.31, 00022.13, 00000.00, 00000.00, 00000.00, 00033.64,99442.95,14.42,0.98
653899  00160.40, 00758.79, 00689.21, 00159.24,-00011.61,-00043.56, 00000.00, 00000.00, 00000.00, 00033.44,103102.61,14.97,1.02
654213  00335.45, 00882.81, 00657.47, 00032.53, 00005.37, 00019.68, 00000.00, 00000.00, 00000.00, 00033.64,104265.29,15.13,1.03
654527  00286.87, 00762.70, 00637.45, 00000.82, 00026.17, 00017.50, 00000.00, 00000.00, 00000.00, 00033.44,103267.75,14.96,1.02
654845  00258.54, 00682.62, 00687.74, 00021.18,-00022.40, 00000.72, 00000.00, 00000.00, 00000.00, 00033.49,101675.91,14.74,1.00
655158  00235.60, 00598.63, 00621.58,-00034.76, 00012.09, 00001.57, 00000.00, 00000.00, 00000.00, 00033.78,99557.49,14.44,0.98
