Test9.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
427455  00271.24,-00357.91, 00887.94,-00004.05,-00002.36, 00004.66, 00000.00, 00000.00, 00000.00, 00034.31,99514.85,14.43,0.98
427769  00270.75,-00375.24, 00885.99,-00002.95,-00000.49, 00002.81, 00000.00, 00000.00, 00000.00, 00034.12,99504.70,14.43,0.98
428083  00291.02,-00401.86, 00891.11,-00005.97,-00004.82,-00004.99, 00000.00, 00000.00, 00000.00, 00034.50,99503.88,14.43,0.98
428401  00283.45,-00367.68, 00863.28,-00001.11, 00002.20,-00002.11, 00000.00, 00000.00, 00000.00, 00034.36,99508.41,14.43,0.98
428715  00261.47,-00371.09, 00891.36, 00006.63, 00000.38,-00004.66, 00000.00, 00000.00, 00000.00, 00034.21,99490.66,14.43,0.98
429029  00265.87,-00347.41, 00896.24,-00000.88, 00000.53, 00000.69, 00000.00, 00000.00, 00000.00, 00034.21,99506.94,14.43,0.98
429343  00270.51,-00324.22, 00890.62,-00002.32,-00000.27,-00001.35, 00000.00, 00000.00, 00000.00, 00034.40,99510.14,14.43,0.98
429661  00250.98,-00282.71, 00897.46, 00009.32, 00001.47, 00005.53, 00000.00, 00000.00, 00000.00, 00034.02,99506.02,14.43,0.98
429975  00258.30,-00297.36, 00898.19, 00031.80,-00004.15,-00001.11, 00000.00, 00000.00, 00000.00, 00034.50,99504.87,14.43,0.98
430289  00261.23,-00060.30, 00917.72, 00037.11,-00005.79,-00007.02, 00000.00, 00000.00, 00000.00, 00034.31,99505.52,14.43,0.98
430603  00336.67, 00238.53, 00873.05, 00141.69,-00022.11,-00003.79, 00000.00, 00000.00, 00000.00, 00034.50,99507.45,14.43,0.98
430921  00292.24, 00638.43, 00645.02, 00055.22, 00000.17,-00005.55, 00000.00, 00000.00, 00000.00, 00034.55,99497.20,14.43,0.98
431235  00302.25, 00747.56, 00569.82, 00017.11, 00003.18, 00004.37, 00000.00, 00000.00, 00000.00, 00034.21,99500.80,14.43,0.98
431549  00307.13, 00788.33, 00493.16, 00012.86,-00005.63, 00002.31, 00000.00, 00000.00, 00000.00, 00034.31,99508.35,14.43,0.98
431863  00330.32, 00794.92, 00488.28,-00002.44, 00001.75, 00001.73, 00000.00, 00000.00, 00000.00, 00034.12,99491.23,14.43,0.98
432181  00354.00, 00777.10, 00547.61,-00006.31,-00003.53, 00003.79, 00000.00, 00000.00, 00000.00, 00034.21,99502.92,14.43,0.98
432495  00348.88, 00766.36, 00514.40, 00002.27, 00001.98,-00003.35, 00000.00, 00000.00, 00000.00, 00034.50,99511.40,14.43,0.98
432809  00322.02, 00757.57, 00520.51,-00002.15,-00002.78,-00001.84, 00000.00, 00000.00, 00000.00, 00034.31,99520.45,14.44,0.98
433123  00333.01, 00748.05, 00531.74,-00005.90,-00001.34,-00003.94, 00000.00, 00000.00, 00000.00, 00034.31,99507.74,14.43,0.98
433441  00288.33, 00744.87, 00565.67, 00000.75,-00000.28,-00002.32, 00000.00, 00000.00, 00000.00, 00034.12,99510.82,14.43,0.98
433755  00337.16, 00764.65, 00564.45, 00004.45, 00004.69, 00004.12, 00000.00, 00000.00, 00000.00, 00034.31,99496.35,14.43,0.98
434069  00345.70, 00734.13, 00572.27,-00000.78,-00000.91, 00003.34, 00000.00, 00000.00, 00000.00, 00034.21,99506.88,14.43,0.98
434383  00277.59, 00653.08, 00717.04,-00077.17, 00013.63, 00002.40, 00000.00, 00000.00, 00000.00, 00034.21,99492.04,14.43,0.98
434707  00308.35, 00312.26, 00886.96,-00062.66, 00002.50,-00006.05, 00000.00, 00000.00, 00000.00, 00034.31,99498.82,14.43,0.98
435021  00308.59, 00118.90, 00933.11,-00035.93,-00005.92,-00004.31, 00000.00, 00000.00, 00000.00, 00034.40,99515.25,14.43,0.98
435335  00307.37, 00027.83, 00940.43,-00013.92, 00001.47,-00000.53, 00000.00, 00000.00, 00000.00, 00034.16,99511.94,14.43,0.98
435649 00291.75,-00135.01, 00952.39,-00036.50,-00005.92,-00006.66, 00000.00, 00000.00, 00000.00, 00034.40,99528.70,14.43,0.98
435977  00302.49,-00257.81, 00917.24,-00018.97,-00000.89,-00002.15, 00000.00, 00000.00, 00000.00, 00034.02,99513.98,14.43,0.98
436291  00270.02,-00445.80, 00856.20,-00034.02, 00007.47, 00007.45, 00000.00, 00000.00, 00000.00, 00034.21,99518.40,14.43,0.98
436605  00321.53,-00588.13, 00778.08,-00010.72,-00001.50,-00001.93, 00000.00, 00000.00, 00000.00, 00034.50,99498.26,14.43,0.98
436919  00260.50,-00587.16, 00765.14,-00003.64, 00001.83,-00005.77, 00000.00, 00000.00, 00000.00, 00034.31,99500.03,14.43,0.98
437237  00247.56,-00579.83, 00761.72, 00004.39, 00002.12,-00004.37, 00000.00, 00000.00, 00000.00, 00034.40,99501.24,14.43,0.98
437551  00259.28,-00556.88, 00768.55, 00011.27, 00005.52,-00001.89, 00000.00, 00000.00, 00000.00, 00034.40,99498.98,14.43,0.98
437865  00238.04,-00521.24, 00807.13, 00025.37,-00003.84, 00001.73, 00000.00, 00000.00, 00000.00, 00034.36,99517.52,14.43,0.98
