Tst7.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
208655  00314.21, 00076.66, 00931.15,-00007.51, 00000.85,-00002.40, 00000.00, 00000.00, 00000.00, 00033.97,99493.03,14.43,0.98
208969  00295.90, 00046.39, 00951.42,-00015.63, 00002.28,-00003.70, 00000.00, 00000.00, 00000.00, 00034.12,99505.57,14.43,0.98
209283  00260.99,-00002.44, 00940.67,-00004.39, 00006.18, 00000.57, 00000.00, 00000.00, 00000.00, 00033.68,99529.94,14.44,0.98
209601  00299.07,-00044.92, 00959.72,-00002.50,-00001.60, 00003.70, 00000.00, 00000.00, 00000.00, 00033.88,99513.73,14.44,0.98
209915  00301.51,-00023.19, 00938.96,-00002.50, 00002.38, 00006.34, 00000.00, 00000.00, 00000.00, 00033.68,99518.82,14.44,0.98
210229  00315.67,-00076.90, 00941.41,-00000.71,-00001.85,-00000.52, 00000.00, 00000.00, 00000.00, 00034.12,99515.07,14.43,0.98
210543  00319.58,-00050.29, 00938.96,-00000.44, 00001.64,-00000.26, 00000.00, 00000.00, 00000.00, 00033.97,99519.06,14.43,0.98
210861  00302.98,-00078.12, 00944.82,-00002.29,-00000.66,-00002.51, 00000.00, 00000.00, 00000.00, 00034.02,99515.07,14.44,0.98
211175  00282.71,-00071.53, 00944.82,-00003.81,-00005.48,-00002.77, 00000.00, 00000.00, 00000.00, 00034.12,99524.38,14.43,0.98
211489  00276.61,-00104.74, 00951.42,-00001.00,-00005.01,-00002.10, 00000.00, 00000.00, 00000.00, 00033.97,99522.33,14.44,0.98
211803  00308.35,-00069.34, 00927.98, 00000.56, 00002.50, 00004.71, 00000.00, 00000.00, 00000.00, 00033.64,99505.67,14.43,0.98
212121  00321.53,-00094.73, 00945.80,-00001.47, 00001.62, 00002.65, 00000.00, 00000.00, 00000.00, 00033.88,99495.76,14.43,0.98
212435  00325.68,-00090.58, 00945.07,-00001.37,-00000.69,-00000.37, 00000.00, 00000.00, 00000.00, 00033.83,99516.81,14.44,0.98
212749  00310.55,-00073.00, 00933.59,-00002.37, 00000.12,-00003.04, 00000.00, 00000.00, 00000.00, 00034.21,99522.06,14.44,0.98
213063  00292.48,-00077.88, 00940.43,-00002.25, 00000.73,-00004.97, 00000.00, 00000.00, 00000.00, 00033.97,99524.98,14.43,0.98
213381  00284.42,-00122.07, 00950.44, 00002.54,-00000.53,-00005.17, 00000.00, 00000.00, 00000.00, 00033.88,99518.38,14.44,0.98
213694  00312.50, 00073.73, 00933.35, 00065.34,-00001.64,-00005.86, 00000.00, 00000.00, 00000.00, 00033.97,99519.46,14.43,0.98
214008  00289.79, 00474.85, 00856.20, 00053.75,-00000.99, 00003.28, 00000.00, 00000.00, 00000.00, 00034.02,99515.61,14.43,0.98
214322 00343.02, 00563.48, 00745.85, 00020.93, 00001.30, 00004.82, 00000.00, 00000.00, 00000.00, 00033.83,99516.26,14.44,0.98
214651  00375.49, 00672.36, 00666.99, 00009.30,-00009.69, 00007.13, 00000.00, 00000.00, 00000.00, 00033.64,99514.62,14.43,0.98
214965  00315.43, 00686.77, 00620.12,-00003.31, 00000.13,-00001.19, 00000.00, 00000.00, 00000.00, 00034.02,99507.72,14.43,0.98
