Test11.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
570636  00255.86, 00962.89, 00620.12,-00042.47,-00034.21, 00021.44, 00000.00, 00000.00, 00000.00, 00033.35,99509.34,14.43,0.98
570949  00249.27, 00833.74, 00548.34,-00019.62,-00004.98, 00023.68, 00000.00, 00000.00, 00000.00, 00034.02,99465.73,14.42,0.98
571263  00097.17, 00818.36, 00469.97, 00000.21, 00013.23, 00012.87, 00000.00, 00000.00, 00000.00, 00033.88,100749.91,14.62,1.00
571577  00680.66, 00661.38, 00494.87,-00051.58,-00013.90,-00002.24, 00000.00, 00000.00, 00000.00, 00033.83,105710.77,15.34,1.04
571895  00607.18, 00675.05, 00310.06, 00025.49,-00012.05, 00001.53, 00000.00, 00000.00, 00000.00, 00033.59,105918.91,15.37,1.05
572209  00542.24, 00827.88, 00132.57,-00041.64,-00001.28, 00034.60, 00000.00, 00000.00, 00000.00, 00033.49,105076.45,15.21,1.03
572523  00222.41, 00729.49,-00151.86, 00083.81, 00020.47,-00031.31, 00000.00, 00000.00, 00000.00, 00033.83,99513.55,14.44,0.98
572837  00488.04, 00657.23,-00262.94,-00009.53,-00036.46, 00000.18, 00000.00, 00000.00, 00000.00, 00033.78,99521.70,14.44,0.98
573155  00417.97, 00890.87,-00390.87,-00021.48, 00003.18,-00011.89, 00000.00, 00000.00, 00000.00, 00033.78,99508.27,14.43,0.98
573469  00534.91, 00715.82,-00371.58,-00014.08,-00007.68, 00009.02, 00000.00, 00000.00, 00000.00, 00033.68,99480.52,14.43,0.98
573783  00379.64, 00871.58,-00479.74,-00033.73, 00011.56,-00024.49, 00000.00, 00000.00, 00000.00, 00033.59,99499.64,14.43,0.98
574097  00390.14, 00869.63,-00326.17, 00022.93,-00003.89, 00014.84, 00000.00, 00000.00, 00000.00, 00033.35,99514.91,14.43,0.98
574415  00407.23, 00765.87,-00428.96,-00011.70, 00005.63,-00005.88, 00000.00, 00000.00, 00000.00, 00033.49,99518.76,14.43,0.98
574729  00428.47, 00819.82,-00375.49,-00005.60,-00000.35, 00000.27, 00000.00, 00000.00, 00000.00, 00033.49,99519.73,14.44,0.98
575043  00436.52, 00830.57,-00231.45, 00009.97,-00011.68, 00002.50, 00000.00, 00000.00, 00000.00, 00033.88,99513.68,14.43,0.98
575357  00541.75, 00844.73,-00191.89,-00014.80, 00002.38, 00015.44, 00000.00, 00000.00, 00000.00, 00033.49,99999.64,14.51,0.99
575675  00496.83, 00816.41,-00167.97,-00002.00,-00003.52, 00006.24, 00000.00, 00000.00, 00000.00, 00033.44,105638.03,15.35,1.05
575989  00538.33, 00820.80,-00151.12,-00007.32,-00000.71, 00000.50, 00000.00, 00000.00, 00000.00, 00033.64,107976.14,15.65,1.06
576303  00476.07, 00803.47,-00175.54, 00017.69,-00018.40,-00007.00, 00000.00, 00000.00, 00000.00, 00033.88,104295.63,15.11,1.03
576617  00521.97, 00757.32,-00153.81,-00003.07, 00009.09, 00034.47, 00000.00, 00000.00, 00000.00, 00033.78,99523.52,14.43,0.98
576935  00623.54, 00743.16,-00152.34, 00009.92, 00001.51, 00007.74, 00000.00, 00000.00, 00000.00, 00033.64,99523.00,14.44,0.98
577249  00644.29, 00719.73,-00002.44, 00016.08, 00009.21, 00016.56, 00000.00, 00000.00, 00000.00, 00033.49,99504.73,14.43,0.98
577563  00734.62, 00665.04,-00076.90, 00006.02,-00006.27,-00005.36, 00000.00, 00000.00, 00000.00, 00033.68,99514.02,14.43,0.98
577877  00631.10, 00720.21,-00156.01, 00020.75, 00002.22,-00024.92, 00000.00, 00000.00, 00000.00, 00033.64,99593.30,14.44,0.98
578195  00572.02, 00941.16,-00105.47, 00020.82, 00021.98,-00007.09, 00000.00, 00000.00, 00000.00, 00033.83,99535.96,14.44,0.98
578509  00496.58, 00923.10,-00094.73, 00038.74,-00006.31,-00013.24, 00000.00, 00000.00, 00000.00, 00033.30,99525.73,14.44,0.98
578823  00510.99, 00822.27,-00212.89,-00018.85, 00011.26,-00004.36, 00000.00, 00000.00, 00000.00, 00033.59,99527.90,14.44,0.98
579137  00336.43, 00910.89,-00253.17,-00001.25, 00004.47,-00003.28, 00000.00, 00000.00, 00000.00, 00033.49,99485.16,14.43,0.98
579455  00425.54, 00907.23,-00260.99,-00012.60, 00007.90, 00002.49, 00000.00, 00000.00, 00000.00, 00033.64,99525.41,14.43,0.98
579769  00354.74, 00884.77,-00313.48, 00002.79, 00007.00,-00007.63, 00000.00, 00000.00, 00000.00, 00033.49,99477.52,14.43,0.98
580083  00387.70, 00852.29,-00265.87,-00001.61,-00001.21,-00001.87, 00000.00, 00000.00, 00000.00, 00033.68,99513.08,14.43,0.98
58397  00393.55, 00874.76,-00229.49,-00006.64,-00000.56, 00000.24, 00000.00, 00000.00, 00000.00, 00033.88,99597.95,14.45,0.98
580733  00393.07, 00878.91,-00208.98,-00005.64,-00002.03, 00001.31, 00000.00, 00000.00, 00000.00, 00033.78,99621.31,14.45,0.98
581047  00382.32, 00877.69,-00167.48,-00010.09,-00002.64, 00001.94, 00000.00, 00000.00, 00000.00, 00033.59,99635.57,14.45,0.98
581361  00346.44, 00897.71,-00118.65,-00005.56, 00002.46,-00007.73, 00000.00, 00000.00, 00000.00, 00033.68,99619.14,14.45,0.98
581675  00425.78, 00913.09, 00010.50,-00044.24, 00015.75,-00001.02, 00000.00, 00000.00, 00000.00, 00033.30,99609.00,14.45,0.98
581993  00364.75, 00828.86, 00281.25,-00064.88, 00012.82,-00005.45, 00000.00, 00000.00, 00000.00, 00033.78,99594.72,14.45,0.98
582307  00298.83, 00568.12, 00687.26,-00059.41, 00015.05,-00002.67, 00000.00, 00000.00, 00000.00, 00033.64,99606.88,14.45,0.98
582621  00331.05, 00422.85, 00799.32,-00012.13, 00000.62,-00003.08, 00000.00, 00000.00, 00000.00, 00033.68,99606.02,14.45,0.98
582935  00325.93, 00444.82, 00831.79,-00012.41,-00004.44,-00007.42, 00000.00, 00000.00, 00000.00, 00033.59,99613.57,14.45,0.98
583253  00324.22, 00422.12, 00869.87,-00001.21, 00002.02, 00003.81, 00000.00, 00000.00, 00000.00, 00033.49,99708.44,14.46,0.98
583567  00330.81, 00471.44, 00738.77,-00001.90, 00010.87, 00014.56, 00000.00, 00000.00, 00000.00, 00033.68,99503.02,14.43,0.98
583881  00427.98, 00356.20, 00833.98, 00011.82,-00000.63, 00016.36, 00000.00, 00000.00, 00000.00, 00033.30,99575.12,14.44,0.98
584195  00249.76, 00438.23, 00769.29, 00012.50,-00012.74,-00009.62, 00000.00, 00000.00, 00000.00, 00033.64,99568.39,14.44,0.98
584513  00251.71, 00458.25, 00723.63,-00008.24, 00002.85,-00005.61, 00000.00, 00000.00, 00000.00, 00033.64,99567.88,14.44,0.98
584827  00301.27, 00717.77, 00507.57,-00002.79, 00016.42, 00024.27, 00000.00, 00000.00, 00000.00, 00033.59,99558.87,14.44,0.98
585141  00257.57, 00712.16, 00531.98, 00122.57,-00028.32,-00022.02, 00000.00, 00000.00, 00000.00, 00033.59,99553.89,14.44,0.98
585455  00430.91, 00823.73, 00384.28, 00051.50,-00041.27, 00023.74, 00000.00, 00000.00, 00000.00, 00033.59,99550.89,14.44,0.98
585773  00400.88, 00856.20, 00024.90, 00039.47, 00046.61, 00000.90, 00000.00, 00000.00, 00000.00, 00033.64,99558.82,14.44,0.98
586087  00395.02, 00897.22,-00130.62,-00007.11,-00002.84,-00004.98, 00000.00, 00000.00, 00000.00, 00033.59,99562.32,14.44,0.98
586401  00320.80, 00829.10,-00102.78,-00016.11, 00013.92,-00017.77, 00000.00, 00000.00, 00000.00, 00033.59,99576.48,14.44,0.98
586715  00397.22, 00927.25,-00055.18,-00008.35,-00000.40,-00001.26, 00000.00, 00000.00, 00000.00, 00033.30,99570.59,14.44,0.98
587033  00416.75, 00889.40,-00029.05,-00014.29, 00004.95, 00009.65, 00000.00, 00000.00, 00000.00, 00033.68,99556.58,14.44,0.98
587347  00428.71, 00921.39, 00031.01,-00024.16, 00010.15,-00006.49, 00000.00, 00000.00, 00000.00, 00033.44,99552.43,14.44,0.98
587661  00399.41, 00868.41, 00156.74,-00027.54, 00003.33, 00001.98, 00000.00, 00000.00, 00000.00, 00033.64,99555.82,14.44,0.98
587975  00386.72, 00784.91, 00478.76,-00109.44, 00017.81,-00005.60, 00000.00, 00000.00, 00000.00, 00033.49,99550.83,14.44,0.98
588293  00347.41, 00512.21, 00779.30,-00071.31, 00026.61, 00009.21, 00000.00, 00000.00, 00000.00, 00033.49,99546.96,14.44,0.98
588607  00343.26, 00355.71, 00873.05,-00010.17,-00006.31, 00005.79, 00000.00, 00000.00, 00000.00, 00033.49,99564.13,14.44,0.98
588921  00378.17, 00347.17, 00849.12,-00001.95, 00000.07,-00008.18, 00000.00, 00000.00, 00000.00, 00033.49,99560.21,14.44,0.98
589235  00351.81, 00309.08, 00880.86,-00006.66,-00000.83,-00005.71, 00000.00, 00000.00, 00000.00, 00033.59,99549.13,14.44,0.98
