Time, Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
60870, -00384.77,-00604.00, 00659.67,-00004.24,-00001.45,-00002.62,-00036.45,-00003.30, 00049.95, 00033.88,98663.56,14.31,0.97
61184, -00395.51,-00602.05, 00721.19,-00007.89, 00000.86, 00004.02,-00036.15,-00003.45, 00050.10, 00033.64,98659.93,14.31,1.97
61498, -00382.32,-00594.24, 00638.18, 00004.34,-00000.63,-00003.98,-00035.85,-00005.55, 00049.35, 00033.78,98673.24,14.31,2.97
61812, -00353.03,-00674.80, 00660.64,-00007.91,-00018.72,-00006.68,-00037.50,-00006.90, 00048.45, 00034.02,98675.55,14.31,3.97
62129, -00344.24,-00590.33, 00701.66,-00009.93,-00012.30,-00006.57,-00040.20,-00008.85, 00047.25, 00033.88,98645.20,14.31,2.97
62442, -00307.62,-00666.02, 00640.62,-00008.15, 00000.32, 00016.26,-00039.30,-00012.30, 00044.85, 00034.21,98660.73,14.31,1.97
62756, -00487.79,-00794.92, 00671.39, 00004.06, 00011.85,-00014.81,-00035.10,-00015.00, 00043.35, 00033.88,98677.70,14.31,3.97
