Time, Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
195247, -00583.50,-01086.91, 00120.12,-00003.11,-00016.85, 00035.39,-00031.50,-00031.95, 00028.05, 00033.06,98662.53,14.31,0.97
195561, -00485.84,-00936.04, 00282.71, 00077.63,-00019.52, 00003.47,-00036.75,-00030.75, 00032.55, 00033.16,98663.86,14.31,0.97
195875, -00098.14,-00452.15, 00737.30, 00170.24,-00016.18, 00029.85,-00044.10,-00001.65, 00049.20, 00033.11,98639.69,14.31,0.97
196189, -00438.96, 00343.26, 00868.65, 00122.85,-00056.05, 00017.13,-00047.70, 00026.25, 00049.35, 00033.06,98660.69,14.31,0.97
196507, -00255.86, 00290.53, 00807.62, 00030.02,-00009.56,-00010.19,-00048.90, 00033.45, 00047.40, 00033.06,98657.68,14.31,0.97
196821, -00306.64, 00190.43, 00907.23,-00027.40,-00018.74,-00000.27,-00043.65, 00030.75, 00048.75, 00032.92,98662.93,14.31,0.97
197135, -00238.28, 00060.06, 00911.13,-00004.31,-00014.44, 00015.37,-00045.90, 00028.35, 00048.45, 00032.92,98668.41,14.31,0.97
