Time,Pa,P1,first_derivative,second_derivative
0,99316,0.0,,
0,99420,0.03,104.0,
1000,99414,0.03,-6.0,-110.0
2000,99426,0.03,12.0,18.0
2000,99429,0.04,3.0,-9.0
3000,99416,0.03,-13.0,-16.0
3000,99426,0.03,10.0,23.0
4000,99425,0.03,-1.0,-11.0
5000,99417,0.03,-8.0,-7.0
5000,99417,0.03,0.0,8.0
6000,99398,0.03,-19.0,-19.0
7000,99426,0.03,28.0,47.0
7000,99423,0.03,-3.0,-31.0
8000,99411,0.03,-12.0,-9.0
8000,99421,0.03,10.0,22.0
9000,99405,0.03,-16.0,-26.0
10000,99421,0.03,16.0,32.0
10000,99423,0.03,2.0,-14.0
11000,99417,0.03,-6.0,-8.0
11000,99407,0.03,-10.0,-4.0
12000,99411,0.03,4.0,14.0
13000,99416,0.03,5.0,1.0
13000,99418,0.03,2.0,-3.0
14000,99419,0.03,1.0,-1.0
15000,99403,0.03,-16.0,-17.0
15000,99419,0.03,16.0,32.0
16000,99421,0.03,2.0,-14.0
16000,99428,0.04,7.0,5.0
17000,99420,0.03,-8.0,-15.0
18000,99439,0.04,19.0,27.0
18000,99428,0.04,-11.0,-30.0
19000,99428,0.04,0.0,11.0
19000,99425,0.03,-3.0,-3.0
20000,99428,0.04,3.0,6.0
21000,99436,0.04,8.0,5.0
21000,99431,0.04,-5.0,-13.0
22000,99438,0.04,7.0,12.0
23000,99421,0.03,-17.0,-24.0
23000,99425,0.03,4.0,21.0
24000,99428,0.04,3.0,-1.0
25000,99433,0.04,5.0,2.0
26000,99434,0.04,1.0,-4.0
27000,99443,0.04,9.0,8.0
27000,99439,0.04,-4.0,-13.0
28000,99431,0.04,-8.0,-4.0
29000,99429,0.04,-2.0,6.0
29000,99435,0.04,6.0,8.0
30000,99443,0.04,8.0,2.0
31000,99428,0.04,-15.0,-23.0
32000,100247,0.29,819.0,834.0
33000,100514,0.38,267.0,-552.0
33000,99439,0.04,-1075.0,-1342.0
34000,99425,0.03,-14.0,1061.0
35000,99425,0.03,0.0,14.0
36000,99416,0.03,-9.0,-9.0
36000,100582,0.4,1166.0,1175.0
37000,102476,1.0,1894.0,728.0
37000,99417,0.03,-3059.0,-4953.0
38000,99420,0.03,3.0,3062.0
39000,99410,0.03,-10.0,-13.0
39000,99427,0.04,17.0,27.0
40000,99432,0.04,5.0,-12.0
40000,99428,0.04,-4.0,-9.0
