Time,Pa,P1
0,99515,0.01
0,99515,0.01
1000,99511,0.01
2000,99524,0.01
2000,99497,0.0
3000,99516,0.01
3000,99514,0.01
4000,99512,0.01
5000,99495,0.0
5000,99501,0.0
6000,99515,0.01
7000,99519,0.01
7000,99524,0.01
8000,99510,0.0
8000,99517,0.01
9000,99515,0.01
10000,99505,0.0
10000,99510,0.0
11000,99505,0.0
12000,99525,0.01
12000,99519,0.01
13000,99524,0.01
14000,99508,0.0
15000,99516,0.01
16000,99519,0.01
16000,99516,0.01
17000,99523,0.01
18000,99536,0.01
19000,99509,0.0
19000,99517,0.01
20000,99500,0.0
21000,108742,1.0
21000,99518,0.01
22000,99521,0.01
22000,99530,0.01
23000,99517,0.01
24000,99497,0.0
24000,99514,0.01
25000,99514,0.01
25000,99514,0.01
26000,99515,0.01
27000,99492,0.0
27000,99520,0.01
28000,99510,0.0
28000,99517,0.01
29000,99506,0.0
30000,99519,0.01
30000,99519,0.01
31000,99510,0.0
32000,99511,0.01
32000,99507,0.0
33000,99502,0.0
33000,99522,0.01
34000,99515,0.01
35000,99510,0.0
35000,99503,0.0
36000,99513,0.01
36000,99514,0.01
37000,99514,0.01
38000,99512,0.01
38000,99504,0.0
39000,99510,0.0
39000,99508,0.0
40000,99514,0.01
41000,99503,0.0
41000,99513,0.01
43000,99512,0.01
44000,99512,0.01
45000,99514,0.01
45000,99505,0.0
46000,99511,0.01
46000,99509,0.0
47000,99517,0.01
48000,99514,0.01
48000,99512,0.01
49000,99506,0.0
50000,99511,0.01
50000,99519,0.01
51000,99517,0.01
51000,99515,0.01
52000,99824,0.04
53000,101527,0.22
53000,102521,0.33
54000,102492,0.33
54000,101378,0.21
55000,99539,0.01
56000,105456,0.65
56000,102165,0.29
57000,99512,0.01
58000,99509,0.0
58000,99507,0.0
59000,99515,0.01
60000,99519,0.01
61000,99528,0.01
61000,99517,0.01
62000,99513,0.01
63000,99533,0.01
64000,99525,0.01
65000,99529,0.01
65000,99528,0.01
66000,99523,0.01
67000,99511,0.01
68000,100160,0.08
69000,101587,0.23
70000,99494,0.0
70000,99522,0.01
71000,99526,0.01
72000,99523,0.01
73000,99517,0.01
74000,99504,0.0
75000,99525,0.01
75000,99519,0.01
76000,99517,0.01
77000,99525,0.01
78000,99515,0.01
79000,99510,0.0
79000,99505,0.0
80000,99504,0.0
81000,99511,0.01
81000,99516,0.01
82000,99505,0.0
83000,99500,0.0
83000,99508,0.0
84000,99502,0.0
85000,99509,0.0
85000,99492,0.0
86000,99513,0.01
87000,99513,0.01
87000,99497,0.0
88000,99505,0.0
88000,99510,0.0
89000,99517,0.01
90000,99515,0.01
90000,99497,0.0
91000,99519,0.01
92000,99501,0.0
92000,99513,0.01
93000,99509,0.0
93000,99508,0.0
94000,99509,0.0
95000,99517,0.01
95000,99504,0.0
96000,99505,0.0
96000,99504,0.0
97000,99505,0.0
98000,99515,0.01
98000,99510,0.0
99000,99505,0.0
99000,99500,0.0
100000,99505,0.0
101000,99503,0.0
102000,99495,0.0
102000,99491,0.0
103000,99464,0.0
103000,99466,0.0
104000,99508,0.0
105000,99505,0.0
105000,99511,0.01
106000,99507,0.0
106000,99515,0.01
107000,99516,0.01
108000,99519,0.01
