Time, Pa
"Friday,-August-30-2024-19:56:43",99373
"Friday,-August-30-2024-19:56:44",99352
"Friday,-August-30-2024-19:56:45",99364
"Friday,-August-30-2024-19:56:45",99350
"Friday,-August-30-2024-19:56:46",99366
"Friday,-August-30-2024-19:56:47",99351
"Friday,-August-30-2024-19:56:47",99362
"Friday,-August-30-2024-19:56:48",99358
"Friday,-August-30-2024-19:56:48",99367
"Friday,-August-30-2024-19:56:49",99370
"Friday,-August-30-2024-19:56:50",99364
"Friday,-August-30-2024-19:56:50",99352
"Friday,-August-30-2024-19:56:51",99361
"Friday,-August-30-2024-19:56:51",99358
"Friday,-August-30-2024-19:56:52",99351
"Friday,-August-30-2024-19:56:53",99353
"Friday,-August-30-2024-19:56:53",99373
"Friday,-August-30-2024-19:56:54",99359
"Friday,-August-30-2024-19:56:55",99361
"Friday,-August-30-2024-19:56:55",99361
"Friday,-August-30-2024-19:56:56",99364
"Friday,-August-30-2024-19:56:56",99361
"Friday,-August-30-2024-19:56:57",99368
"Friday,-August-30-2024-19:56:58",99359
"Friday,-August-30-2024-19:56:58",99354
"Friday,-August-30-2024-19:56:59",99362
"Friday,-August-30-2024-19:56:59",99364
"Friday,-August-30-2024-19:57:00",99360
"Friday,-August-30-2024-19:57:01",99351
"Friday,-August-30-2024-19:57:01",99356
"Friday,-August-30-2024-19:57:02",99363
"Friday,-August-30-2024-19:57:03",99358
"Friday,-August-30-2024-19:57:03",99362
"Friday,-August-30-2024-19:57:04",99359
"Friday,-August-30-2024-19:57:04",99364
"Friday,-August-30-2024-19:57:05",99366
"Friday,-August-30-2024-19:57:06",99354
"Friday,-August-30-2024-19:57:06",99365
"Friday,-August-30-2024-19:57:07",99357
"Friday,-August-30-2024-19:57:08",99365
"Friday,-August-30-2024-19:57:09",99371
"Friday,-August-30-2024-19:57:09",99354
"Friday,-August-30-2024-19:57:10",99366
"Friday,-August-30-2024-19:57:11",99371
"Friday,-August-30-2024-19:57:11",99365
