Time, Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
278595, -00357.91,-00464.84, 00666.99, 00026.56, 00042.23, 00011.93,-00037.80, 00003.45, 00049.05, 00032.39,98648.45,14.31,0.97
278909, -00400.88,-00362.30, 00801.27, 00020.56,-00009.78, 00018.04,-00038.10, 00003.90, 00049.35, 00032.77,98662.45,14.31,0.97
279223, -00440.92,-00417.97, 00807.13,-00016.18,-00007.02, 00012.12,-00037.50, 00000.15, 00048.75, 00032.73,98659.80,14.31,0.97
279541, -00504.88,-00500.49, 00753.42,-00007.35,-00023.86, 00028.78,-00037.50,-00002.10, 00046.20, 00032.29,98667.46,14.31,0.97
279855, -00288.09,-00501.46, 00671.87,-00007.99,-00043.72,-00006.37,-00040.35, 00000.00, 00046.35, 00032.63,98655.76,14.31,0.97
280169, -00430.18,-00525.88, 00825.20, 00002.18, 00006.76, 00017.61,-00039.90,-00003.30, 00048.45, 00032.73,98667.27,14.31,0.97
280483, -00164.06,-00698.73, 01058.59, 00016.76, 00013.33,-00002.20,-00038.10,-00003.45, 00047.85, 00032.44,98662.48,14.31,0.97
280801, -00477.05,-00535.64, 00740.72,-00022.80,-00034.24,-00016.16,-00039.45,-00004.50, 00048.00, 00032.58,98660.46,14.31,0.97
281115, -00482.91,-00391.11, 00868.65,-00015.15,-00014.35,-00001.16,-00040.95,-00005.70, 00046.20, 00032.58,98646.83,14.31,0.97
281429, -00433.59,-00701.66, 00687.50,-00060.97, 00031.30,-00012.33,-00041.40,-00009.30, 00044.25, 00032.58,99146.01,14.40,0.98
281743, -00315.92,-00814.94, 00510.74,-00020.66,-00049.02, 00013.60,-00042.15,-00016.50, 00038.55, 00032.39,107621.05,15.64,1.07
282061, -00421.87,-00642.58, 00405.76,-00029.73,-00014.45,-00040.09,-00041.70,-00020.10, 00036.30, 00032.63,109752.55,15.91,1.08
282375, -00451.17,-00811.52, 00333.98,-00048.90, 00007.18,-00023.43,-00040.65,-00026.40, 00030.75, 00032.73,109140.66,15.83,1.08
282689, -00581.54,-01060.55, 00352.54, 00086.90,-00011.85, 00025.85,-00040.95,-00028.05, 00027.30, 00032.63,106604.90,15.46,1.05
283003, -00494.63, 00217.77, 01085.94, 00159.49,-00001.89, 00031.66,-00041.70, 00007.35, 00049.95, 00032.63,103052.88,14.91,1.01
283321, -00227.05, 00565.92, 00831.05, 00076.71,-00055.77,-00055.54,-00045.00, 00031.80, 00045.90, 00032.73,98664.95,14.31,0.97
283635, -00340.33, 00213.38, 00868.16,-00017.71,-00001.82, 00024.51,-00047.25, 00032.55, 00045.90, 00032.73,98661.17,14.31,0.97
283949, -00304.20, 00383.79, 01009.77,-00008.23, 00014.92,-00011.52,-00046.50, 00031.35, 00048.30, 00032.73,98632.08,14.31,0.97
284263, -00306.15, 00188.96, 00977.05,-00002.21, 00007.45, 00000.86,-00047.85, 00029.25, 00049.20, 00032.82,98635.74,14.31,0.97
284581, -00300.78, 00177.25, 00930.18,-00013.66, 00021.27,-00009.09,-00049.65, 00026.25, 00049.05, 00032.77,98661.23,14.31,0.97
284895, -00290.53, 00098.14, 00967.29,-00004.64, 00016.05,-00000.47,-00047.25, 00027.00, 00047.85, 00032.73,98674.48,14.31,0.97
285209, -00333.98, 00133.30, 00937.99,-00007.92, 00007.82,-00004.65,-00047.55, 00025.65, 00048.00, 00032.58,98671.20,14.31,0.97
285523, -00301.27, 00137.21, 00969.73,-00000.79, 00016.16,-00006.30,-00048.30, 00024.90, 00046.95, 00032.29,98679.75,14.31,0.97
285841, -00309.57, 00118.65, 00966.80,-00004.95, 00006.37,-00003.18,-00047.55, 00024.90, 00048.75, 00032.58,98668.13,14.31,0.97
286155, -00325.20, 00066.89, 00942.38, 00001.13,-00000.09, 00008.31,-00046.95, 00023.85, 00050.55, 00032.63,98654.93,14.31,0.97
286469, -00277.83, 00099.12, 00932.13, 00000.73,-00000.86,-00002.13,-00047.85, 00024.00, 00049.20, 00032.73,98648.70,14.31,0.97
286783, -00332.52, 00085.94, 00939.94,-00004.15,-00006.21, 00002.24,-00048.45, 00023.85, 00049.05, 00033.06,98648.20,14.31,0.97
287101, -00320.80, 00069.34, 00915.04,-00001.03,-00002.24,-00002.47,-00048.45, 00023.40, 00048.60, 00032.58,98663.84,14.31,0.97
287415, -00359.37, 00078.61, 00945.80,-00003.79,-00006.52, 00005.08,-00047.55, 00022.80, 00049.95, 00032.73,98654.09,14.31,0.97
287729, -00358.40, 00037.11, 00925.78,-00003.05, 00001.63,-00003.52,-00047.25, 00021.90, 00047.85, 00032.58,98658.55,14.31,0.97
288043, -00334.96, 00016.11, 00962.89,-00013.83,-00010.14,-00002.34,-00047.70, 00021.45, 00048.60, 00032.63,98671.74,14.31,0.97
288361, -00261.23, 00001.46, 00975.59,-00003.84, 00007.69,-00001.28,-00050.40, 00021.00, 00049.35, 00032.44,98665.42,14.31,0.97
288675, -00291.02, 00001.95, 00963.38,-00000.57, 00004.44,-00000.31,-00048.30, 00020.85, 00049.20, 00032.53,98671.10,14.31,0.97
288989, -00308.59,-00018.07, 00968.26,-00004.82,-00006.43, 00005.92,-00049.80, 00019.20, 00049.20, 00032.39,98652.31,14.31,0.97
289303, -00369.63,-00062.01, 00968.75,-00007.48, 00005.35, 00002.73,-00046.95, 00018.60, 00048.60, 00032.73,98652.65,14.31,0.97
289621, -00315.92,-00233.40, 00869.63,-00098.18, 00012.16,-00011.64,-00047.25, 00007.95, 00048.30, 00032.58,98670.13,14.31,0.97
289935, -00321.78,-00389.16, 00868.65,-00012.61,-00005.46,-00006.83,-00049.20, 00000.75, 00047.10, 00032.39,98673.24,14.31,0.97
290249, -00326.66,-00440.92, 00872.56, 00001.47, 00003.11, 00010.08,-00046.95,-00000.75, 00048.60, 00032.25,98662.34,14.31,0.97
290563, -00352.54,-00480.47, 00812.50,-00037.98, 00000.82,-00003.11,-00048.30,-00003.75, 00048.00, 00032.73,98667.16,14.31,0.97
290882, -00307.62,-00565.43, 00773.44,-00000.76,-00009.95,-00007.63,-00046.65,-00007.35, 00045.00, 00032.39,98670.29,14.31,0.97
291196, -00348.14,-00499.51, 00812.99, 00004.41,-00001.98, 00009.48,-00047.85,-00005.70, 00045.00, 00032.63,98667.85,14.31,0.97
291510, -00364.75,-00503.91, 00783.20,-00004.70,-00000.71, 00008.73,-00048.00,-00005.55, 00045.60, 00032.73,98646.09,14.31,0.97
291824, -00331.05,-00506.35, 00779.79, 00000.44, 00002.23,-00001.50,-00048.00,-00005.85, 00046.35, 00032.44,98607.06,14.30,0.97
292142, -00311.04,-00504.39, 00807.13, 00001.22, 00000.87,-00003.67,-00047.70,-00006.30, 00045.90, 00032.29,98786.26,14.33,0.97
292456, -00309.57,-00537.11, 00805.18,-00000.21, 00003.48,-00002.73,-00048.00,-00006.75, 00046.35, 00032.58,98713.45,14.32,0.97
292770, -00332.03,-00518.07, 00805.66,-00004.57,-00013.75,-00000.11,-00049.20,-00005.55, 00047.85, 00032.58,98700.44,14.32,0.97
293084, -00353.03,-00517.58, 00806.15,-00004.56, 00002.80, 00002.56,-00047.55,-00006.15, 00045.00, 00032.73,98667.38,14.31,0.97
293402, -00374.51,-00505.86, 00799.32,-00002.79,-00002.39,-00006.10,-00048.00,-00005.10, 00044.85, 00032.58,98674.09,14.31,0.97
293716, -00327.15,-00512.21, 00793.46, 00002.98, 00001.93, 00002.89,-00048.90,-00006.30, 00045.60, 00032.39,98659.87,14.31,0.97
294030, -00333.98,-00431.64, 00828.61, 00014.50, 00001.96,-00005.92,-00048.60,-00005.25, 00047.70, 00032.73,98655.51,14.31,0.97
294344, -00260.25,-00401.37, 00922.36, 00056.17, 00001.24, 00012.43,-00047.10, 00002.10, 00048.75, 00032.44,98667.79,14.31,0.97
294662, -00256.35,-00044.43, 00953.12, 00021.78, 00002.79, 00006.69,-00049.20, 00015.90, 00049.35, 00032.39,98674.41,14.31,0.97
294976, -00275.88, 00140.14, 00937.01, 00026.58,-00016.89,-00001.71,-00047.85, 00025.95, 00046.50, 00032.53,98676.53,14.31,0.97
295290, -00332.03,-00085.45, 00983.89,-00085.34, 00010.20,-00005.40,-00048.00, 00023.40, 00048.30, 00032.63,98675.34,14.31,0.97
295604, -00352.54, 00063.96, 00914.06,-00005.25,-00010.56,-00001.89,-00048.00, 00022.20, 00047.40, 00032.39,98671.66,14.31,0.97
295922, -00325.68,-00085.94, 00933.59,-00010.50,-00006.32,-00001.80,-00047.85, 00018.00, 00050.25, 00032.73,98661.01,14.31,0.97
296236, -00274.41, 00005.37, 00983.40,-00006.85, 00001.59, 00003.19,-00047.85, 00020.85, 00049.20, 00032.77,98665.84,14.31,0.97
296550, -00296.39,-00031.74, 00933.11,-00038.11,-00007.18,-00007.31,-00047.10, 00016.50, 00051.00, 00032.58,98646.05,14.31,0.97
296864, -00332.52,-00277.34, 00932.62,-00053.11, 00003.19,-00002.85,-00045.45, 00005.85, 00051.30, 00032.29,98641.05,14.31,0.97
297182, -00288.09,-00680.18, 00734.37,-00087.59, 00016.83, 00006.17,-00048.90,-00011.10, 00041.40, 00032.58,98666.41,14.31,0.97
297496, -00281.25,-00896.97, 00342.29,-00074.51, 00000.85,-00009.16,-00048.60,-00026.40, 00027.30, 00032.29,98662.90,14.31,0.97
297810, -00267.09,-00954.10, 00131.35,-00034.40, 00004.06, 00005.67,-00048.45,-00032.25, 00018.75, 00032.29,98659.70,14.31,0.97
298124, -00307.62,-00983.89, 00095.21,-00005.24,-00006.99, 00006.05,-00048.45,-00034.65, 00015.45, 00032.53,98669.50,14.31,0.97
298442, -00300.29,-00941.89, 00067.38,-00001.63,-00008.23, 00003.50,-00049.35,-00033.60, 00012.15, 00032.53,98675.78,14.31,0.97
298756, -00356.93,-00932.62, 00055.66, 00006.89,-00011.24,-00001.53,-00049.65,-00032.25, 00012.00, 00032.73,98659.41,14.31,0.97
299070, -00332.03,-00936.04, 00074.22, 00000.17,-00002.98, 00003.10,-00049.65,-00033.75, 00013.20, 00032.63,98673.02,14.31,0.97
299384, -00317.87,-00950.20, 00086.43, 00014.53, 00002.63, 00000.89,-00049.05,-00031.20, 00013.35, 00032.44,98662.86,14.31,0.97
299702, -00315.92,-00979.00, 00099.61, 00000.05, 00001.85,-00001.03,-00049.35,-00034.05, 00013.35, 00032.58,98675.62,14.31,0.97
300016, -00326.66,-00937.99, 00125.49, 00002.69,-00000.29,-00002.98,-00049.05,-00033.60, 00014.40, 00032.29,98664.82,14.31,0.97
300330, -00341.80,-00951.66, 00121.09, 00000.16,-00004.58,-00006.24,-00048.60,-00033.60, 00015.90, 00032.39,98615.75,14.30,0.97
300644, -00295.41,-00922.36, 00205.08, 00019.68,-00021.34,-00002.95,-00048.00,-00029.85, 00018.00, 00032.63,98622.77,14.31,0.97
300962, -00329.59,-00936.04, 00374.51, 00049.11,-00004.24,-00005.60,-00048.60,-00028.35, 00024.60, 00032.63,98648.31,14.31,0.97
301276, -00293.46,-00744.14, 00582.03, 00018.65, 00006.80,-00007.73,-00049.05,-00019.65, 00034.50, 00032.73,98667.92,14.31,0.97
301590, -00317.38,-00638.18, 00648.44, 00008.89, 00004.95,-00003.16,-00049.95,-00016.65, 00039.15, 00032.29,98663.19,14.31,0.97
301904, -00309.08,-00569.34, 00810.55, 00064.43, 00006.71, 00002.01,-00048.45,-00012.30, 00044.10, 00032.39,98657.38,14.31,0.97
302222, -00258.79,-00364.26, 00864.26, 00020.26,-00005.82, 00008.33,-00049.05,-00000.15, 00046.20, 00032.44,98659.16,14.31,0.97
302536, -00337.89,-00243.65, 00918.95, 00031.60,-00006.85,-00000.41,-00048.45, 00004.35, 00048.60, 00032.63,98658.48,14.31,0.97
302850, -00264.65,-00156.74, 00966.31, 00027.97, 00002.33, 00006.15,-00048.90, 00012.30, 00047.85, 00032.73,98662.81,14.31,0.97
303164, -00314.45,-00045.90, 00930.66, 00015.26,-00006.60,-00003.92,-00048.45, 00015.00, 00048.60, 00032.58,98668.34,14.31,0.97
303482, -00275.88, 00113.28, 00951.66, 00022.85, 00003.77,-00002.69,-00048.90, 00022.65, 00047.85, 00032.53,98673.88,14.31,0.97
303796, -00294.92, 00125.00, 00939.45, 00004.09,-00006.78,-00002.99,-00049.20, 00023.85, 00049.05, 00032.39,98663.81,14.31,0.97
304110, -00304.69, 00136.23, 00958.01, 00002.21, 00003.11,-00001.02,-00048.30, 00025.05, 00048.60, 00032.25,98674.71,14.31,0.97
304424, -00338.38, 00123.05, 00938.48,-00003.95, 00007.56, 00009.44,-00049.05, 00023.25, 00048.00, 00032.73,98670.84,14.31,0.97
304742, -00339.36, 00132.81, 00936.52,-00023.19, 00004.88, 00000.23,-00048.30, 00024.00, 00046.95, 00032.73,98661.90,14.31,0.97
305056, -00308.11,-00406.74, 00775.39,-00131.23, 00000.89,-00007.50,-00047.55,-00002.85, 00046.20, 00032.58,98652.08,14.31,0.97
305370, -00349.61,-00791.02, 00551.27,-00030.03,-00000.43,-00003.31,-00047.70,-00020.25, 00035.70, 00032.53,98660.39,14.31,0.97
305684, -00353.52,-00829.10, 00493.65, 00000.89,-00002.46,-00001.80,-00047.55,-00022.50, 00033.30, 00032.53,98677.19,14.31,0.97
