Time,Pa,P1,first_derivative,second_derivative
0,99440,0.01,,
1000,99431,0.01,-9.0,
2000,99442,0.01,11.0,20.0
2000,99445,0.01,3.0,-8.0
3000,99447,0.01,2.0,-1.0
4000,99438,0.01,-9.0,-11.0
4000,99450,0.01,12.0,21.0
5000,99449,0.01,-1.0,-13.0
6000,99454,0.01,5.0,6.0
7000,99450,0.01,-4.0,-9.0
8000,99450,0.01,0.0,4.0
8000,99439,0.01,-11.0,-11.0
9000,99442,0.01,3.0,14.0
10000,99434,0.01,-8.0,-11.0
10000,99434,0.01,0.0,8.0
11000,99432,0.01,-2.0,-2.0
11000,99440,0.01,8.0,10.0
12000,99437,0.01,-3.0,-11.0
13000,99438,0.01,1.0,4.0
13000,99429,0.01,-9.0,-10.0
14000,99440,0.01,11.0,20.0
14000,99430,0.01,-10.0,-21.0
15000,99438,0.01,8.0,18.0
16000,99437,0.01,-1.0,-9.0
16000,99435,0.01,-2.0,-1.0
17000,99443,0.01,8.0,10.0
18000,99440,0.01,-3.0,-11.0
18000,99437,0.01,-3.0,0.0
19000,99441,0.01,4.0,7.0
19000,99435,0.01,-6.0,-10.0
20000,99435,0.01,0.0,6.0
21000,99435,0.01,0.0,0.0
21000,99434,0.01,-1.0,-1.0
22000,99443,0.01,9.0,10.0
22000,99443,0.01,0.0,-9.0
23000,99439,0.01,-4.0,-4.0
24000,99448,0.01,9.0,13.0
24000,99443,0.01,-5.0,-14.0
25000,99438,0.01,-5.0,0.0
25000,99437,0.01,-1.0,4.0
26000,99446,0.01,9.0,10.0
27000,99442,0.01,-4.0,-13.0
27000,99436,0.01,-6.0,-2.0
28000,99440,0.01,4.0,10.0
29000,99435,0.01,-5.0,-9.0
29000,99441,0.01,6.0,11.0
30000,99436,0.01,-5.0,-11.0
30000,99443,0.01,7.0,12.0
31000,99439,0.01,-4.0,-11.0
32000,99441,0.01,2.0,6.0
32000,99442,0.01,1.0,-1.0
33000,99444,0.01,2.0,1.0
33000,99439,0.01,-5.0,-7.0
34000,99448,0.01,9.0,14.0
35000,99431,0.01,-17.0,-26.0
35000,99427,0.01,-4.0,13.0
36000,99443,0.01,16.0,20.0
37000,99428,0.01,-15.0,-31.0
37000,99427,0.01,-1.0,14.0
38000,99435,0.01,8.0,9.0
38000,99440,0.01,5.0,-3.0
39000,99442,0.01,2.0,-3.0
40000,99436,0.01,-6.0,-8.0
40000,99437,0.01,1.0,7.0
41000,99436,0.01,-1.0,-2.0
41000,99430,0.01,-6.0,-5.0
42000,99452,0.01,22.0,28.0
43000,99470,0.01,18.0,-4.0
43000,100646,0.13,1176.0,1158.0
44000,100321,0.09,-325.0,-1501.0
45000,100774,0.14,453.0,778.0
45000,100652,0.13,-122.0,-575.0
46000,100440,0.11,-212.0,-90.0
46000,100009,0.06,-431.0,-219.0
47000,99467,0.01,-542.0,-111.0
48000,99437,0.01,-30.0,512.0
48000,99429,0.01,-8.0,22.0
49000,101494,0.21,2065.0,2073.0
50000,99463,0.01,-2031.0,-4096.0
51000,100697,0.13,1234.0,3265.0
52000,103017,0.36,2320.0,1086.0
53000,99450,0.01,-3567.0,-5887.0
53000,99460,0.01,10.0,3577.0
54000,99434,0.01,-26.0,-36.0
55000,99439,0.01,5.0,31.0
56000,99348,0.0,-91.0,-96.0
57000,99441,0.01,93.0,184.0
58000,109635,1.0,10194.0,10101.0
59000,99395,0.0,-10240.0,-20434.0
60000,99444,0.01,49.0,10289.0
61000,99346,0.0,-98.0,-147.0
62000,101277,0.19,1931.0,2029.0
62000,100763,0.14,-514.0,-2445.0
63000,99446,0.01,-1317.0,-803.0
64000,99350,0.0,-96.0,1221.0
