Time, Pa
"Friday,-August-30-2024-19:43:40",99399
"Friday,-August-30-2024-19:43:41",99388
"Friday,-August-30-2024-19:43:41",99378
"Friday,-August-30-2024-19:43:42",99369
"Friday,-August-30-2024-19:43:43",99386
"Friday,-August-30-2024-19:43:43",99373
"Friday,-August-30-2024-19:43:44",99364
"Friday,-August-30-2024-19:43:44",99392
"Friday,-August-30-2024-19:43:45",99377
"Friday,-August-30-2024-19:43:45",99363
"Friday,-August-30-2024-19:43:46",99379
"Friday,-August-30-2024-19:43:47",99388
"Friday,-August-30-2024-19:43:47",99368
"Friday,-August-30-2024-19:43:48",99387
"Friday,-August-30-2024-19:43:48",99394
"Friday,-August-30-2024-19:43:49",99377
"Friday,-August-30-2024-19:43:50",99343
"Friday,-August-30-2024-19:43:50",99396
"Friday,-August-30-2024-19:43:51",99382
"Friday,-August-30-2024-19:43:52",99367
"Friday,-August-30-2024-19:43:52",99384
"Friday,-August-30-2024-19:43:53",99393
"Friday,-August-30-2024-19:43:53",107119
"Friday,-August-30-2024-19:43:54",100742
"Friday,-August-30-2024-19:43:55",99376
"Friday,-August-30-2024-19:43:55",99381
"Friday,-August-30-2024-19:43:56",99365
"Friday,-August-30-2024-19:43:56",99372
"Friday,-August-30-2024-19:43:57",99388
"Friday,-August-30-2024-19:43:58",99387
"Friday,-August-30-2024-19:43:58",99388
"Friday,-August-30-2024-19:43:59",99381
"Friday,-August-30-2024-19:44:00",99360
"Friday,-August-30-2024-19:44:00",99380
"Friday,-August-30-2024-19:44:01",99381
"Friday,-August-30-2024-19:44:01",99373
"Friday,-August-30-2024-19:44:02",99386
"Friday,-August-30-2024-19:44:03",99394
"Friday,-August-30-2024-19:44:03",99370
"Friday,-August-30-2024-19:44:04",99374
"Friday,-August-30-2024-19:44:04",99390
"Friday,-August-30-2024-19:44:05",99379
"Friday,-August-30-2024-19:44:06",99357
"Friday,-August-30-2024-19:44:06",99385
"Friday,-August-30-2024-19:44:07",99368
"Friday,-August-30-2024-19:44:08",99366
"Friday,-August-30-2024-19:44:08",99386
"Friday,-August-30-2024-19:44:09",99375
"Friday,-August-30-2024-19:44:09",99365
