Time,Pa,P1
0,99399,0.01
1000,99388,0.01
1000,99378,0.01
2000,99369,0.01
3000,99386,0.01
3000,99373,0.01
4000,99364,0.01
4000,99392,0.01
5000,99377,0.01
5000,99363,0.01
6000,99379,0.01
7000,99388,0.01
7000,99368,0.01
8000,99387,0.01
8000,99394,0.01
9000,99377,0.01
10000,99343,0.0
10000,99396,0.01
11000,99382,0.01
12000,99367,0.01
12000,99384,0.01
13000,99393,0.01
13000,107119,0.9
14000,100742,0.17
15000,99376,0.01
15000,99381,0.01
16000,99365,0.01
16000,99372,0.01
17000,99388,0.01
18000,99387,0.01
18000,99388,0.01
19000,99381,0.01
20000,99360,0.01
20000,99380,0.01
21000,99381,0.01
21000,99373,0.01
22000,99386,0.01
23000,99394,0.01
23000,99370,0.01
24000,99374,0.01
24000,99390,0.01
25000,99379,0.01
26000,99357,0.01
26000,99385,0.01
27000,99368,0.01
28000,99366,0.01
28000,99386,0.01
29000,99375,0.01
29000,99365,0.01
30000,99390,0.01
31000,99384,0.01
31000,99367,0.01
32000,99369,0.01
32000,99376,0.01
33000,99371,0.01
34000,99374,0.01
34000,99381,0.01
35000,99366,0.01
36000,99374,0.01
36000,99380,0.01
37000,99365,0.01
37000,99364,0.01
38000,99378,0.01
39000,99380,0.01
39000,99362,0.01
40000,99371,0.01
40000,99370,0.01
41000,99380,0.01
42000,99376,0.01
43000,100058,0.09
44000,100256,0.11
44000,100237,0.11
45000,99641,0.04
46000,99888,0.07
47000,100158,0.1
48000,99373,0.01
49000,99368,0.01
49000,101633,0.27
50000,100814,0.17
50000,100156,0.1
51000,99371,0.01
52000,100088,0.09
53000,100166,0.1
54000,100241,0.11
54000,100407,0.13
56000,100696,0.16
56000,100801,0.17
57000,100507,0.14
58000,100456,0.13
58000,100391,0.13
59000,99393,0.01
59000,100367,0.12
60000,99866,0.07
61000,99401,0.01
61000,99374,0.01
62000,99348,0.01
63000,99379,0.01
63000,99368,0.01
64000,107977,1.0
64000,99373,0.01
65000,99373,0.01
66000,99301,0.0
66000,99443,0.02
67000,99345,0.01
67000,99412,0.01
68000,99398,0.01
69000,99386,0.01
69000,99711,0.05
70000,99472,0.02
71000,99394,0.01
71000,99335,0.0
72000,99387,0.01
73000,99366,0.01
73000,99384,0.01
74000,99363,0.01
74000,99372,0.01
75000,99388,0.01
76000,99377,0.01
76000,99368,0.01
77000,99382,0.01
77000,99385,0.01
78000,99358,0.01
79000,99401,0.01
79000,99375,0.01
80000,99359,0.01
81000,99389,0.01
81000,99314,0.0
82000,99405,0.01
82000,99381,0.01
83000,99352,0.01
84000,99393,0.01
