Time,Pa,P1,first_derivative,second_derivative
0,99355,0.0,,
0,99446,0.01,91.0,
1000,99442,0.01,-4.0,-95.0
2000,99440,0.01,-2.0,2.0
2000,99444,0.01,4.0,6.0
3000,99444,0.01,0.0,-4.0
3000,99452,0.01,8.0,8.0
4000,99448,0.01,-4.0,-12.0
5000,99460,0.01,12.0,16.0
5000,99449,0.01,-11.0,-23.0
6000,99453,0.01,4.0,15.0
6000,99445,0.01,-8.0,-12.0
7000,99447,0.01,2.0,10.0
8000,99448,0.01,1.0,-1.0
8000,99441,0.01,-7.0,-8.0
9000,99444,0.01,3.0,10.0
10000,99447,0.01,3.0,0.0
10000,99444,0.01,-3.0,-6.0
11000,99433,0.01,-11.0,-8.0
11000,99438,0.01,5.0,16.0
12000,99446,0.01,8.0,3.0
13000,99448,0.01,2.0,-6.0
13000,99446,0.01,-2.0,-4.0
14000,99443,0.01,-3.0,-1.0
14000,99444,0.01,1.0,4.0
15000,99449,0.01,5.0,4.0
16000,99439,0.01,-10.0,-15.0
16000,99452,0.01,13.0,23.0
17000,99451,0.01,-1.0,-14.0
18000,99445,0.01,-6.0,-5.0
18000,99437,0.01,-8.0,-2.0
19000,99444,0.01,7.0,15.0
19000,99447,0.01,3.0,-4.0
20000,99439,0.01,-8.0,-11.0
21000,99443,0.01,4.0,12.0
21000,99450,0.01,7.0,3.0
22000,99450,0.01,0.0,-7.0
22000,99449,0.01,-1.0,-1.0
23000,99445,0.01,-4.0,-3.0
24000,99441,0.01,-4.0,0.0
24000,99444,0.01,3.0,7.0
25000,99454,0.01,10.0,7.0
26000,99448,0.01,-6.0,-16.0
26000,99440,0.01,-8.0,-2.0
27000,99451,0.01,11.0,19.0
27000,99443,0.01,-8.0,-19.0
28000,99440,0.01,-3.0,5.0
28000,99433,0.01,-7.0,-4.0
29000,99462,0.01,29.0,36.0
30000,99452,0.01,-10.0,-39.0
31000,99455,0.01,3.0,13.0
32000,99442,0.01,-13.0,-16.0
32000,99450,0.01,8.0,21.0
33000,99444,0.01,-6.0,-14.0
34000,100187,0.08,743.0,749.0
35000,100028,0.07,-159.0,-902.0
36000,101274,0.19,1246.0,1405.0
37000,99447,0.01,-1827.0,-3073.0
38000,99445,0.01,-2.0,1825.0
38000,99443,0.01,-2.0,0.0
39000,99380,0.0,-63.0,-61.0
40000,100370,0.1,990.0,1053.0
41000,105079,0.57,4709.0,3719.0
42000,106990,0.75,1911.0,-2798.0
42000,99479,0.01,-7511.0,-9422.0
43000,99428,0.01,-51.0,7460.0
44000,99465,0.01,37.0,88.0
44000,104372,0.5,4907.0,4870.0
45000,109475,1.0,5103.0,196.0
45000,107142,0.77,-2333.0,-7436.0
46000,99494,0.01,-7648.0,-5315.0
47000,99442,0.01,-52.0,7596.0
47000,99450,0.01,8.0,60.0
48000,99442,0.01,-8.0,-16.0
48000,99455,0.01,13.0,21.0
49000,99447,0.01,-8.0,-21.0
50000,99402,0.0,-45.0,-37.0
50000,99430,0.01,28.0,73.0
51000,99437,0.01,7.0,-21.0
52000,99437,0.01,0.0,-7.0
52000,99436,0.01,-1.0,-1.0
53000,99441,0.01,5.0,6.0
53000,99445,0.01,4.0,-1.0
54000,99439,0.01,-6.0,-10.0
