Time,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Temp,Pa,PSI,atm
79125, -00312.50,-00322.27,900.39,-6.24,5.64,7.52,-49.05,1.65,50.25,33.97,98660.02,14.31,0.97
79439, -00324.22,-00537.60,814.45,-76.34,-0.34,-8.36,-49.05,-6.45,46.5,33.78,98637.56,14.31,0.97
79757, -00244.14,-00954.10,425.78,-112.41,-19.84,-15.6,-51.15,-25.05,31.2,33.88,98646.08,14.31,0.97
80070, -00280.76,-00912.60,312.99,-13.3,7.11,-0.77,-50.7,-30.6,23.7,33.97,98660.98,14.31,0.97
80384, -00287.60,-00889.65,279.79,-7.44,-6.33,-9.8,-52.5,-31.2,22.05,33.97,98683.91,14.31,0.97
80697, -00222.66,-00960.94,249.51,2.12,0.82,5.79,-52.65,-31.8,21.45,33.59,98674.84,14.31,0.97
81010, -00304.69,-00924.80,262.21,6.62,6.21,1.69,-51.15,-31.8,21.45,33.97,98668.84,14.31,0.97
81327, -00260.25,-00927.73,241.7,1.29,-5.39,-1.45,-52.05,-30.0,20.85,33.97,98678.77,14.31,0.97
81640, -00296.87,-00906.74,234.86,14.73,-3.84,-0.86,-51.45,-29.4,20.7,33.59,98661.01,14.31,0.97
81954, -00294.92,-00915.53,339.84,-8.25,8.37,-5.19,-52.05,-30.0,22.05,33.88,98661.17,14.31,0.97
82267, -00281.74,-00940.92,298.83,-0.78,3.57,-2.41,-51.75,-31.65,21.6,34.12,98658.49,14.31,0.97
82584, -00247.07,-00918.46,288.09,15.37,-3.66,6.83,-52.2,-31.8,24.15,33.88,98656.24,14.31,0.97
82897, -00312.01,-00935.55,360.35,14.11,0.6,9.26,-50.55,-29.55,26.55,33.88,98649.57,14.31,0.97
83210, -00326.17,-00849.12,485.84,59.82,-9.22,3.21,-49.2,-25.5,30.45,33.83,98666.04,14.31,0.97
83524, -00292.97,-00694.82,699.71,58.12,-9.37,4.25,-50.7,-17.85,38.85,33.64,98668.62,14.31,0.97
83842, -00291.02,-00413.57,840.33,68.71,1.24,-5.88,-51.15,-5.85,45.6,33.83,98672.29,14.31,0.97
84156, -00262.21,-00275.88,929.2,13.05,0.21,-10.8,-51.15,2.7,49.05,33.59,98662.03,14.31,0.97
84470, -00289.06,-00214.36,955.08,7.18,5.04,3.24,-51.45,9.15,49.05,33.83,98667.03,14.31,0.97
84784, -00245.12,-00150.88,968.26,4.31,1.01,3.65,-52.65,10.35,50.85,33.44,98667.15,14.31,0.97
85102, -00287.11,-00171.87,951.66,0.3,-1.18,1.05,-52.2,11.55,51.3,33.59,98667.22,14.31,0.97
85415, -00327.15,-00157.71,935.55,0.4,-8.56,2.84,-50.55,10.95,50.25,34.02,98661.77,14.31,0.97
85728, -00301.27,-00171.39,928.22,-10.63,-1.31,-3.21,-50.55,10.05,50.25,33.68,98663.63,14.31,0.97
86042, -00287.60,-00216.31,936.04,-1.81,-14.01,-4.15,-48.9,11.1,50.85,33.88,98655.19,14.31,0.97
86360, -00243.65,-00202.64,959.96,1.52,-3.42,-0.32,-49.05,9.75,50.7,33.68,98683.87,14.31,0.97
86673, -00289.06,-00187.99,939.45,10.17,-11.66,-5.54,-50.1,11.7,49.95,33.83,98665.84,14.31,0.97
86987, -00238.28,-00224.12,931.15,-33.24,15.52,2.28,-51.15,9.9,50.55,33.83,98674.13,14.31,0.97
87300, -00284.67,-0052441,811.52,-66.94,5.95,-3.9,-49.8,-4.5,48.45,33.78,98662.26,14.31,0.97
87636, -00383.30,-00760.25,634.28,-28.93,-6.4,0.23,-48.9,-18.6,39.6,33.78,98670.73,14.31,0.97
