Time,Pa,P1
0,99489,0.03
0,99504,0.03
1000,99483,0.03
1000,99479,0.03
2000,99477,0.03
3000,99474,0.03
3000,99475,0.03
4000,99474,0.03
4000,99473,0.03
5000,99477,0.03
6000,99484,0.03
6000,99480,0.03
7000,99469,0.02
8000,99475,0.03
8000,99474,0.03
9000,99480,0.03
9000,99480,0.03
10000,99484,0.03
11000,99488,0.03
11000,99474,0.03
12000,99488,0.03
12000,99480,0.03
13000,99482,0.03
14000,99473,0.03
14000,99469,0.02
15000,99483,0.03
16000,99476,0.03
16000,99473,0.03
17000,99469,0.02
17000,99488,0.03
18000,99479,0.03
19000,99483,0.03
19000,99466,0.02
20000,99481,0.03
20000,99471,0.03
21000,99481,0.03
22000,99474,0.03
22000,99469,0.02
23000,99482,0.03
24000,99488,0.03
24000,99478,0.03
25000,99476,0.03
25000,99476,0.03
26000,99485,0.03
27000,99483,0.03
27000,99478,0.03
28000,99471,0.03
28000,99481,0.03
29000,99481,0.03
30000,99479,0.03
30000,99470,0.03
31000,99471,0.03
32000,99484,0.03
32000,99488,0.03
33000,99474,0.03
33000,99482,0.03
34000,99489,0.03
35000,99486,0.03
35000,99474,0.03
36000,99473,0.03
36000,99484,0.03
37000,99490,0.03
38000,99475,0.03
39000,99491,0.03
40000,99470,0.03
41000,99483,0.03
42000,101939,0.67
43000,103162,0.99
44000,103210,1.0
45000,99483,0.03
46000,99374,0.0
47000,99479,0.03
48000,100295,0.24
49000,99462,0.02
50000,99491,0.03
51000,99418,0.01
52000,99482,0.03
