time(s),pressure (kPa)
501.042,99.51366
501.356,99.51048
501.67,99.4993
501.984,99.52213
502.302,99.56316
502.616,99.5167
502.93,99.536
503.244,99.5918
503.562,99.58323
503.876,99.5719
504.19,99.57075
504.504,99.56789
504.829,99.56645
505.143,99.56527
505.457,99.56457
505.771,99.55684
506.089,99.50487
506.403,99.5063
506.717,99.50959
507.031,99.50602
507.349,99.48725
507.663,99.51018
507.977,99.51267
508.291,99.5072
508.609,99.52051
508.923,99.50857
509.237,99.50797
509.551,99.51188
509.869,99.51324
510.183,99.50311
510.497,99.50621
510.811,99.51349
511.129,99.5263
511.443,99.51855
511.757,99.50972
512.071,99.50835
512.389,99.50941
512.703,99.4947
513.017,99.50697
513.331,99.52136
513.649,99.51484
513.962,99.51154
514.276,99.51263
514.59,99.51338
514.915,99.50418
515.228,99.4834
515.542,99.5032
515.856,99.50907
516.174,99.52645
516.488,99.53349
516.802,99.51772
517.116,99.50874
517.434,99.45308
517.748,99.46116
518.062,99.51359
518.376,99.53829
518.694,99.48327
519.008,99.46329
519.322,99.52359
519.636,99.50076
519.954,99.70439
520.268,99.52377
520.582,99.51551
520.896,99.52638
521.214,99.48894
521.528,99.48763
521.842,99.51441
522.156,99.51621
522.474,99.51836
522.788,99.50595
523.102,99.50552
523.416,99.47541
523.734,100.45477
524.047,103.58267
524.361,103.28246
524.675,104.48652
525.0,103.7803
525.313,105.45348
525.627,106.78072
525.945,103.63871
526.258,101.09103
526.572,107.95538
526.886,108.17648
527.204,104.88933
527.517,99.48576
527.831,100.16023
528.145,101.34507
528.463,101.1103
528.776,99.50466
529.09,102.49944
529.404,103.23561
529.722,99.49602
530.035,99.46345
530.349,99.61245
530.663,99.51166
530.981,99.61691
531.294,99.71073
531.608,99.50242
531.922,99.52495
532.24,99.5106
532.554,99.51199
532.868,99.49363
533.182,99.48875
533.5,99.50607
