Time,Pa,P1
0,99518,0.01
1000,99524,0.01
1000,99530,0.01
2000,99513,0.0
2000,99551,0.02
3000,99526,0.01
4000,99510,0.0
4000,99530,0.01
5000,99528,0.01
6000,99527,0.01
6000,99521,0.01
7000,99518,0.01
7000,99524,0.01
8000,99530,0.01
9000,99519,0.01
9000,99517,0.01
10000,99522,0.01
11000,99526,0.01
11000,99524,0.01
12000,99531,0.01
13000,99514,0.0
13000,99522,0.01
14000,99523,0.01
15000,99531,0.01
15000,99517,0.01
16000,99518,0.01
16000,99520,0.01
17000,99529,0.01
18000,99530,0.01
18000,99522,0.01
19000,99522,0.01
19000,99528,0.01
20000,99529,0.01
21000,99522,0.01
21000,99524,0.01
22000,99508,0.0
22000,99519,0.01
23000,99526,0.01
24000,99527,0.01
24000,99506,0.0
25000,99530,0.01
25000,99527,0.01
26000,99522,0.01
26000,99531,0.01
27000,99513,0.0
27000,99512,0.0
28000,99524,0.01
29000,99524,0.01
29000,99513,0.0
30000,99515,0.0
31000,99522,0.01
31000,99509,0.0
32000,99709,0.1
32000,100884,0.66
33000,101606,1.0
34000,101363,0.88
34000,101609,1.0
35000,100932,0.68
