Time,Pa,P1
0,99454,0.0
0,99449,0.0
1000,99446,0.0
2000,99436,0.0
2000,99437,0.0
3000,99419,0.0
3000,99444,0.0
4000,99430,0.0
4000,99439,0.0
5000,99439,0.0
6000,99440,0.0
6000,99359,0.0
7000,99431,0.0
8000,99433,0.0
8000,99439,0.0
9000,99317,0.0
9000,99413,0.0
10000,99451,0.0
11000,99435,0.0
11000,106744,0.0
12000,112426,0.0
12000,99424,0.0
13000,99432,0.0
13000,99428,0.0
14000,99433,0.0
15000,99445,0.0
15000,99437,0.0
16000,99443,0.0
17000,99431,0.0
17000,99438,0.0
18000,99439,0.0
18000,99446,0.0
19000,99446,0.0
20000,99440,0.0
21000,99447,0.0
21000,99433,0.0
22000,99441,0.0
23000,99443,0.0
24000,99439,0.0
25000,99433,0.0
25000,99441,0.0
26000,99441,0.0
27000,99443,0.0
28000,99445,0.0
28000,99441,0.0
29000,99436,0.0
30000,99439,0.0
30000,99406,0.0
31000,99436,0.0
31000,99428,0.0
32000,99427,0.0
33000,99430,0.0
33000,99437,0.0
34000,99431,0.0
35000,99437,0.0
35000,99430,0.0
36000,99438,0.0
36000,99435,0.0
37000,99437,0.0
38000,99434,0.0
38000,99437,0.0
39000,99432,0.0
39000,99441,0.0
40000,99428,0.0
41000,99442,0.0
41000,99438,0.0
42000,99436,0.0
43000,99432,0.0
43000,99433,0.0
44000,99441,0.0
44000,99428,0.0
45000,99436,0.0
46000,99442,0.0
46000,99430,0.0
47000,99439,0.0
47000,99438,0.0
48000,99430,0.0
49000,99434,0.0
49000,99435,0.0
50000,99442,0.0
51000,99447,0.0
51000,99431,0.0
52000,99433,0.0
52000,99426,0.0
53000,99432,0.0
54000,99449,0.0
54000,99464,0.0
55000,99458,0.0
55000,100061,0.0
56000,100447,0.0
57000,99761,0.0
57000,99837,0.0
58000,99583,0.0
59000,100022,0.0
59000,100304,0.0
60000,100387,0.0
60000,100606,0.0
61000,99480,0.0
62000,99397,0.0
62000,99472,0.0
63000,101916,0.0
63000,101202,0.0
64000,99429,0.0
65000,99426,0.0
65000,99390,0.0
66000,100211,0.0
67000,104107,0.0
68000,108806,0.0
69000,108639,0.0
70000,99439,0.0
70000,99431,0.0
71000,99406,0.0
72000,100912,0.0
72000,100780,0.0
73000,99404,0.0
74000,106721,0.0
74000,100043,0.0
75000,99422,0.0
76000,99451,0.0
77000,2147483647,1.0
78000,2147483647,1.0
79000,2147483647,1.0
79000,2147483647,1.0
81000,2147483647,1.0
81000,2147483647,1.0
82000,2147483647,1.0
84000,2147483647,1.0
85000,2147483647,1.0
86000,2147483647,1.0
87000,2147483647,1.0
88000,2147483647,1.0
89000,2147483647,1.0
89000,2147483647,1.0
90000,2147483647,1.0
90000,2147483647,1.0
91000,2147483647,1.0
92000,2147483647,1.0
93000,2147483647,1.0
93000,2147483647,1.0
94000,2147483647,1.0
95000,2147483647,1.0
95000,2147483647,1.0
96000,2147483647,1.0
97000,2147483647,1.0
98000,2147483647,1.0
98000,2147483647,1.0
99000,2147483647,1.0
100000,2147483647,1.0
100000,2147483647,1.0
101000,2147483647,1.0
102000,2147483647,1.0
103000,2147483647,1.0
103000,2147483647,1.0
104000,2147483647,1.0
105000,2147483647,1.0
105000,2147483647,1.0
106000,2147483647,1.0
107000,2147483647,1.0
107000,2147483647,1.0
108000,2147483647,1.0
109000,2147483647,1.0
110000,2147483647,1.0
111000,2147483647,1.0
112000,2147483647,1.0
112000,2147483647,1.0
113000,2147483647,1.0
114000,2147483647,1.0
115000,2147483647,1.0
115000,2147483647,1.0
116000,2147483647,1.0
117000,2147483647,1.0
117000,2147483647,1.0
118000,2147483647,1.0
119000,2147483647,1.0
120000,2147483647,1.0
121000,2147483647,1.0
122000,2147483647,1.0
122000,2147483647,1.0
123000,2147483647,1.0
124000,2147483647,1.0
125000,2147483647,1.0
126000,2147483647,1.0
127000,2147483647,1.0
128000,2147483647,1.0
128000,2147483647,1.0
129000,2147483647,1.0
130000,2147483647,1.0
131000,2147483647,1.0
132000,2147483647,1.0
133000,2147483647,1.0
133000,2147483647,1.0
134000,2147483647,1.0
136000,2147483647,1.0
137000,2147483647,1.0
138000,2147483647,1.0
138000,2147483647,1.0
139000,2147483647,1.0
140000,2147483647,1.0
141000,2147483647,1.0
142000,2147483647,1.0
143000,2147483647,1.0
144000,2147483647,1.0
145000,2147483647,1.0
146000,2147483647,1.0
147000,2147483647,1.0
148000,2147483647,1.0
149000,2147483647,1.0
150000,2147483647,1.0
151000,2147483647,1.0
152000,2147483647,1.0
153000,2147483647,1.0
154000,2147483647,1.0
154000,2147483647,1.0
155000,2147483647,1.0
156000,2147483647,1.0
157000,2147483647,1.0
158000,2147483647,1.0
158000,2147483647,1.0
159000,2147483647,1.0
160000,2147483647,1.0
161000,2147483647,1.0
162000,2147483647,1.0
163000,2147483647,1.0
164000,2147483647,1.0
164000,2147483647,1.0
165000,2147483647,1.0
166000,2147483647,1.0
167000,2147483647,1.0
168000,2147483647,1.0
168000,99356,0.0
169000,99456,0.0
170000,99445,0.0
170000,99450,0.0
171000,99348,0.0
172000,99449,0.0
172000,99448,0.0
173000,99440,0.0
