Time,Pa,P1,first_derivative,second_derivative
0,99431,0.01,,
1000,99425,0.01,-6.0,
2000,99419,0.01,-6.0,0.0
2000,99437,0.01,18.0,24.0
3000,99418,0.01,-19.0,-37.0
3000,99430,0.01,12.0,31.0
4000,99437,0.01,7.0,-5.0
5000,99431,0.01,-6.0,-13.0
5000,99428,0.01,-3.0,3.0
6000,99428,0.01,0.0,3.0
6000,99427,0.01,-1.0,-1.0
7000,99441,0.01,14.0,15.0
8000,99436,0.01,-5.0,-19.0
9000,99434,0.01,-2.0,3.0
9000,99433,0.01,-1.0,1.0
10000,99426,0.01,-7.0,-6.0
10000,99426,0.01,0.0,7.0
11000,99424,0.01,-2.0,-2.0
12000,99434,0.01,10.0,12.0
12000,99427,0.01,-7.0,-17.0
13000,99425,0.01,-2.0,5.0
13000,99426,0.01,1.0,3.0
14000,99435,0.01,9.0,8.0
15000,99432,0.01,-3.0,-12.0
15000,99429,0.01,-3.0,0.0
16000,99441,0.01,12.0,15.0
16000,99427,0.01,-14.0,-26.0
17000,99445,0.01,18.0,32.0
18000,99438,0.01,-7.0,-25.0
19000,99443,0.01,5.0,12.0
19000,99439,0.01,-4.0,-9.0
20000,99438,0.01,-1.0,3.0
21000,99438,0.01,0.0,1.0
22000,99440,0.01,2.0,2.0
23000,99439,0.01,-1.0,-3.0
24000,99434,0.01,-5.0,-4.0
24000,99432,0.01,-2.0,3.0
25000,99437,0.01,5.0,7.0
26000,99444,0.01,7.0,2.0
27000,99429,0.01,-15.0,-22.0
27000,99427,0.01,-2.0,13.0
28000,99435,0.01,8.0,10.0
28000,99381,0.01,-54.0,-62.0
29000,99435,0.01,54.0,108.0
30000,99427,0.01,-8.0,-62.0
30000,99438,0.01,11.0,19.0
31000,99429,0.01,-9.0,-20.0
31000,99436,0.01,7.0,16.0
32000,99422,0.01,-14.0,-21.0
33000,99428,0.01,6.0,20.0
33000,99434,0.01,6.0,0.0
34000,99430,0.01,-4.0,-10.0
35000,99426,0.01,-4.0,0.0
35000,99430,0.01,4.0,8.0
36000,99425,0.01,-5.0,-9.0
37000,99430,0.01,5.0,10.0
37000,99423,0.01,-7.0,-12.0
38000,99437,0.01,14.0,21.0
38000,99428,0.01,-9.0,-23.0
39000,99436,0.01,8.0,17.0
40000,99436,0.01,0.0,-8.0
40000,99426,0.01,-10.0,-10.0
41000,99430,0.01,4.0,14.0
42000,99426,0.01,-4.0,-8.0
42000,99430,0.01,4.0,8.0
43000,99424,0.01,-6.0,-10.0
44000,100456,0.11,1032.0,1038.0
44000,100286,0.09,-170.0,-1202.0
45000,100261,0.09,-25.0,145.0
45000,99434,0.01,-827.0,-802.0
46000,99432,0.01,-2.0,825.0
47000,100513,0.11,1081.0,1083.0
47000,100838,0.14,325.0,-756.0
48000,99734,0.04,-1104.0,-1429.0
48000,99437,0.01,-297.0,807.0
49000,99446,0.01,9.0,306.0
50000,99350,0.01,-96.0,-105.0
50000,100612,0.12,1262.0,1358.0
51000,104137,0.44,3525.0,2263.0
52000,99443,0.01,-4694.0,-8219.0
52000,99430,0.01,-13.0,4681.0
53000,99415,0.01,-15.0,-2.0
53000,99438,0.01,23.0,38.0
54000,99419,0.01,-19.0,-42.0
55000,99448,0.01,29.0,48.0
55000,110319,1.0,10871.0,10842.0
56000,99455,0.01,-10864.0,-21735.0
56000,99434,0.01,-21.0,10843.0
57000,99376,0.01,-58.0,-37.0
58000,99430,0.01,54.0,112.0
58000,99419,0.01,-11.0,-65.0
59000,99434,0.01,15.0,26.0
60000,99428,0.01,-6.0,-21.0
60000,99440,0.01,12.0,18.0
61000,99410,0.01,-30.0,-42.0
61000,99292,0.0,-118.0,-88.0
62000,99378,0.01,86.0,204.0
63000,99417,0.01,39.0,-47.0
63000,99427,0.01,10.0,-29.0
64000,99421,0.01,-6.0,-16.0
64000,99422,0.01,1.0,7.0
65000,99428,0.01,6.0,5.0
66000,99390,0.01,-38.0,-44.0
67000,99456,0.01,66.0,104.0
